,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),173627.4,117530.8,12745.2,8769.4,8376.1,13363.7,13659.4,13242.2,17662.9,10744.6,15513.9,16466.7,10018.5,8460.4,10984,12618.2,7559.6,9755.1,12936.7,6809.7,22787.1,7143.5,19108.9,8233.9,22275,1923.6
INDUSTRIAS AGROPECUARIAS,1864.4,53753.4,255.9,3594,76.3,4170.8,122.7,7502.9,142.5,6508.1,199.9,6191.7,91,7670,136.6,6622.3,129,4823.5,194.3,1862.3,68.7,837.9,301.2,2263.5,146.3,1706.3
ANIMALES VIVOS DIVERSOS,3.4,0,0,0,0,0,1,0,0,0,0,0,0.7,0,0,0,1.1,0,0,0,0,0,0,0,0.7,0
BANANO,0,1400.8,0,153.2,0,147.1,0,166.1,0,112.3,0,85.4,0,69.2,0,79.9,0,202.6,0,63.1,0,130.4,0,137.2,0,54.4
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",213.9,1.9,0,0,0,0.2,0,0,25.1,1.7,0,0,26.8,0,0,0,0,0,56.5,0,0,0,34,0,71.6,0
CACAO,0,1.2,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0
CAFE,0,44983.8,0,2005.4,0,3122.5,0,6343.2,0,5793.6,0,5433.8,0,6935.8,0,6159.7,0,4512.5,0,1719.6,0,703.1,0,1197.9,0,1056.9
CAUCHO NATURAL (HULE),454.3,0,51.8,0,51.8,0,0,0,109.4,0,0,0,0,0,104.9,0,0,0,46.9,0,0,0,89.5,0,0,0
CEBOLLA,309.7,0,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.5,0,156.4,0,74.1,0
FRIJOL,0,59.1,0,51.4,0,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",0,596.3,0,0,0,0,0,0,0,32.6,0,372,0,166.2,0,0,0,0,0,25.6,0,0,0,0,0,0
HUEVOS DE AVES,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
LEGUMBRES Y HORTALIZAS,799.6,3673.6,176.8,1027.7,24.5,697.9,121.7,808.4,0,541.3,199.8,126.1,47.5,51.8,31.7,27,123.7,34.9,73.9,26.7,0,0,0,39.6,0,292.1
MAIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIEL DE ABEJAS,0,229.2,0,0,0,0,0,0,0,0,0,0,0,77.5,0,82.1,0,69.6,0,0,0,0,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,4.7,296.6,0,116,0,59.3,0,37.9,0,26.7,0,10.9,0,0.1,0,1,0,3.9,4.7,0.1,0,4.5,0,5.9,0,30.3
PAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",62.7,0,13.7,0,0,0,0,0,8,0,0,0,0,0,0,0,4.2,0,12.4,0,3.2,0,21.3,0,0,0
SEMILLA DE AJONJOLI,0,190.4,0,0,0,27.2,0,27.2,0,0,0,27.2,0,0,0,27.2,0,0,0,27.2,0,0,0,27.2,0,27.2
TABACO EN RAMA O SIN ELABORAR,0,2320.6,0,240.4,0,116.5,0,120.2,0,0,0,128.7,0,368.1,0,245.5,0,0,0,0,0,0,0,855.6,0,245.5
INDUSTRIAS MANUFACTURERAS,165442.1,11085.6,12194.6,676.4,8079.3,3785.4,13092.8,236.3,17079.8,821.6,13021.5,1056.3,9883.1,790.4,10146.4,749,7298.6,349.8,12267.6,112.9,21974.6,1919.4,18677.2,370.9,21726.7,217.2
ABONOS Y FERTILIZANTES,4177.6,0,142,0,166.5,0,474.2,0,656.3,0,198,0,250.3,0,251.9,0,509.2,0,245.3,0,296.1,0,764.4,0,223.4,0
ALIMENTOS PREPARADOS PARA ANIMALES,363.8,0.6,0,0,4.2,0,55.5,0,4.9,0,18.2,0.6,34.5,0,69.7,0,0,0,89.4,0,54.9,0,32.5,0,0,0
APARATOS ELECTROMECANICOS DE USO DOMESTICO,699.3,1.5,32.5,0,4.3,0,24.5,0,71,0,41.7,0,23.1,0,36.2,1.4,0,0,1.4,0,8.9,0.1,356.7,0,98.9,0
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,96.5,0.2,0,0,2.2,0,0,0,0,0,9.9,0,9,0,2.2,0.2,0,0,57.3,0,6.2,0,9.4,0,0.4,0
APARATOS TRANSMISORES Y RECEPTORES,25.1,0.2,0,0,0,0,12.3,0,6.2,0,0.4,0,0,0,0,0.2,4.4,0,0,0,1.7,0,0,0,0,0
ARTICULOS DE VESTUARIO,44.1,4415.6,0.8,388.3,6.5,1067.5,0.5,6.1,0,779.3,3.2,801.8,1.8,421.5,4.8,453.6,1,242.4,0.1,62.6,3,81.6,21.6,97,0.9,13.9
AZUCAR,0,403.5,0,0,0,0,0,143.1,0,0,0,0,0,0,0,0,0,51.7,0,28.3,0,65.3,0,115.1,0,0
AZUCARES Y ARTICULOS DE CONFITERIA,729.1,0,12.6,0,13.7,0,103.4,0,104.4,0,60.5,0,49.6,0,19.9,0,87.4,0,161,0,53.9,0,42.5,0,20.3,0
BATERIAS ELECTRICAS,249.7,0,0,0,0.2,0,191.8,0,0,0,28.8,0,23.3,0,0.2,0,0,0,0,0,5.4,0,0,0,0,0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,442.8,1767.5,24.7,0,5.7,0,10.3,0,63.1,0,75.4,0,0,0,15.2,0,72.3,0,74.3,0,15.5,1767.5,75.5,0,10.9,0
CAFE SOLUBLE Y MOLIDO,24.7,0,11.5,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,0,0,0,0,0
CALZADO,33.8,0,0,0,0.7,0,0,0,0,0,0.4,0,8.7,0,0.1,0,3.1,0,0,0,6.6,0,3,0,11.4,0
CAMARON Y LANGOSTA,0,292.8,0,0,0,0,0,0,0,0,0,105,0,97.6,0,0,0,0,0,0,0,0,0,90.2,0,0
CERAS,214.3,0,0.5,0,0,0,0,0,12.2,0,66.9,0,0,0,16.8,0,0,0,16.3,0,27.6,0,60.3,0,13.7,0
CLAVOS Y TORNILLOS,60,0,7.1,0,2.5,0,5.9,0,0,0,8.8,0,2.8,0,1.3,0,0.5,0,2.8,0,26.3,0,1.7,0,0.2,0
DETERGENTES Y JABONES,1426.8,0,325.2,0,69.3,0,169,0,106.8,0,177.3,0,151.7,0,50.6,0,130.7,0,32.9,0,93.5,0,112.5,0,7.4,0
GRASAS Y ACEITES COMESTIBLES,297,176.7,68.5,0,0,0,17.7,0,15.2,0,0,36.8,16.6,46.2,16.4,0,0,46.2,0,0,10.7,0,81.9,47.5,69.8,0
HARINAS DE CEREALES,2850.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2850.3,0,0.1,0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,877.4,39.2,135,0,66.1,0,13,0,3.1,0,144,0,121.5,0,53.1,0.7,48.2,0,141.8,20,63.3,0.1,68.6,0,19.7,18.4
HILOS E HILAZAS,252.5,0,11.9,0,0,0,31.4,0,45.2,0,35.9,0,2,0,98.5,0,7.8,0,0,0,19.6,0,0,0,0,0
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES",7274.9,0,193.8,0,514.5,0,581.4,0,1160.5,0,1200.3,0,555.7,0,709.3,0,637.2,0,375,0,433.7,0,119.4,0,794,0
INSTRUMENTAL MEDICO Y OTROS,1901.3,0.3,52.6,0,99,0,93.2,0,50.2,0,82,0,45.6,0,55.9,0.2,194.2,0,320.8,0,194.1,0.2,577.5,0,136.4,0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",45.8,7,0.1,0,0.2,0,0,0,0,0,0.6,0,2.6,0,3.8,2.7,0,1.6,2.8,0,0.5,0.7,13.8,1.9,21.4,0
LAMINA Y ALAMBRE,1885.6,0,119.5,0,405.4,0,4,0,1028.4,0,71.2,0,1.3,0,51.3,0,66.9,0,0,0,89.4,0,48.2,0,0,0
