,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),127644.6,183830.8,8420.1,14292.6,12447.5,6312.7,3187.8,13611.7,9466.4,11015.8,12069,14145.3,14770.2,19065.9,19312.6,19292.9,21716.7,19770.1,11811.2,18071.5,5100.6,18928.5,472.1,17435.9,8870.4,11887.9
INDUSTRIAS AGROPECUARIAS,51303.9,1298.1,3407.3,53.6,2926.4,149.8,2996.1,79.5,4224.3,65,4785.6,54.2,7425,3,9484,4.3,8726.1,18.5,4030,166.3,451.3,327.3,288.7,175.3,2559.2,201.4
ANIMALES VIVOS DIVERSOS,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
BANANO,253,0,101.2,0,42.3,0,72.5,0,22.2,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",78.6,62.8,0,0,0.2,25.7,0,0,0,0,0,37.1,2.6,0,0,0,0,0,0,0,6.1,0,13.7,0,56,0
CAFE,46377.8,0,2862,0,2373.6,0,2478.9,0,3969.1,0,4481.3,0,7394,0,9213.9,0,8115.4,0,3349.9,0,338.4,0,240.9,0,1560.4,0
CARDAMOMO,60.6,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,33.8,0,0,0,14.4,0
CAUCHO NATURAL (HULE),1134,481.3,18.8,40.3,0,1.4,0,64.8,0,17.5,0,0,0,0,0,0,0,3.2,159.6,0,66.8,254.2,0,99.9,888.8,0
CEBOLLA,0,536.2,0,13.3,0,60.9,0,11.9,0,0,0,0,0,0,0,0,0,0,0,129.3,0,73,0,46.4,0,201.4
FRIJOL,7.3,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUEVOS DE AVES,0,17.5,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEGUMBRES Y HORTALIZAS,1433.8,22.5,339.2,0,428.4,0,382.7,0,93.5,0,38.5,0,12.6,0,0,0,60.3,0,32.7,22.5,6.2,0,0,0,39.7,0
MIEL DE ABEJAS,134.9,0,0,0,0,0,0,0,0,0,75.5,0,0,0,0,0,59.4,0,0,0,0,0,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,270.9,31.7,86.1,0,81.9,24.2,43,2.8,9.4,0,21.5,0,15.8,0,13.2,0,0,4.7,0,0,0,0,0,0,0,0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",0,145.6,0,0,0,20.1,0,0,0,47.5,0,17.1,0,2.5,0,4.3,0,10.5,0,14.4,0,0,0,29.1,0,0
SEMILLA DE AJONJOLI,109.8,0,0,0,0,0,19,0,0,0,18.8,0,0,0,19,0,0,0,19,0,0,0,34,0,0,0
TABACO EN RAMA O SIN ELABORAR,1443.2,0,0,0,0,0,0,0,122.8,0,122.8,0,0,0,237.9,0,491,0,468.7,0,0,0,0,0,0,0
INDUSTRIAS MANUFACTURERAS,6042.9,170872,202.8,13661.3,206.7,6056.2,174.9,13209.2,431,10736.2,2178.6,13648.5,1572.5,18673.9,30.3,19220.4,712.3,19544.5,25.5,16283.2,175.9,16096.2,183.4,15396.6,149,8345.7
ABONOS Y FERTILIZANTES,0,4315.3,0,39.3,0,0,0,971.6,0,322.1,0,243.6,0,233.7,0,283.6,0,660,0,413.1,0,843.7,0,197.6,0,107
ALIMENTOS PREPARADOS PARA ANIMALES,71.2,496.8,0,260,71.2,0,0,0,0,15.8,0,99.2,0,0,0,0,0,27.7,0,33.8,0,31.5,0,0,0,28.9
APARATOS ELECTROMECANICOS DE USO DOMESTICO,1,1815,0,166,0,32.5,0,731.6,0,12.9,0.2,156.8,0,13.4,0,29.5,0.3,13.7,0.4,560,0,45.3,0,31.5,0.1,21.8
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,0.1,29.1,0,4.9,0,1.7,0,2.1,0,0,0,0.3,0,0.9,0,0,0,0,0.1,8.2,0,0,0,11,0,0
APARATOS TRANSMISORES Y RECEPTORES,0.2,136.9,0,25.5,0,2.8,0,0,0,0,0,0,0,108.6,0,0,0.1,0,0,0,0,0,0,0,0.1,0
ARTICULOS DE VESTUARIO,465.9,87.4,4.5,37.7,16.4,4.5,0,1.4,0,3.7,192.1,0,194.1,2.2,6.4,0.2,21.7,7.8,1.8,3.6,0,4.8,29,12.8,0,8.7
AZUCAR,197.2,5.8,36.3,0,13.5,0,0,0,17.5,0,17.5,0,14.5,0,15.3,0,0,0,13.5,5.8,69.1,0,0,0,0,0
AZUCARES Y ARTICULOS DE CONFITERIA,0,647.1,0,50.8,0,1.4,0,39.1,0,24.4,0,25.3,0,0,0,90.7,0,30.6,0,172.9,0,161.9,0,18.9,0,31
BATERIAS ELECTRICAS,0,5.4,0,1.4,0,0.2,0,0.2,0,0.2,0,0.2,0,0.2,0,0,0,0.5,0,0.8,0,1.1,0,0,0,0.6
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,2866,479.1,0,17.8,0,0,0,0,0,87.2,1713.7,60.8,1141.4,6.3,0,37.4,0,74.7,0,59,0,94.9,0,34.6,10.8,6.5
CALZADO,0.4,30,0,0.1,0,0,0,0,0,0,0,11,0,1.9,0,1,0,0,0,0,0,0.1,0,12.2,0.4,3.7
CERAS,0,95.9,0,0,0,0,0,1.7,0,27.7,0,0,0,37.4,0,0,0,0.2,0,1.6,0,26.2,0,1.1,0,0
CLAVOS Y TORNILLOS,41.6,48.2,0,1.4,0,1.3,0,0.3,0,0.3,41.6,2.1,0,1.6,0,0.6,0,2.3,0,36.4,0,1.2,0,0.3,0,0.5
DETERGENTES Y JABONES,0,1893.9,0,65.2,0,181.8,0,148.6,0,207.4,0,255.7,0,269,0,83.2,0,207.7,0,240.1,0,25.8,0,126.8,0,82.6
GLICERINA CRUDA,0,6,0,0,0,1.8,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRASAS Y ACEITES COMESTIBLES,352.6,600.7,0,69.6,0,15.2,0,38.5,51.8,98.7,51.8,65.4,51.8,104.4,0,12.9,50.2,144,0,0,50.2,0,47.8,15.1,49.1,36.9
HARINAS DE CEREALES,0,8930.9,0,0,0,0,0,55.8,0,2993.3,0,0,0,2979.1,0,0,0,0,0,0,0,0,0,1501.4,0,1401.2
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,0,862.6,0,110.1,0,45.7,0,59.7,0,63.7,0,35.5,0,95.4,0,78.6,0,72.9,0,30,0,20.2,0,239.6,0,11.2
