,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,
TOTAL,"87,486.00",706.40,"8,194.70",61.90,"4,699.10",169.10,"4,307.70",28.90,"9,173.70",31.00,"9,691.20",119.80,"4,343.40",53.00,"6,843.80",58.70,"8,442.10",9.10,"7,211.90",78.90,"7,824.00",66.90,"9,388.90",29.00,"7,365.60",
INDUSTRIAS AGROPECUARIAS,"2,935.60",95.60,24.00,35.50,121.10,0.00,171.10,5.30,493.80,0.00,267.30,33.40,85.80,0.00,50.10,21.40,579.60,0.00,418.30,0.00,85.80,0.00,93.80,0.00,544.80,
AVES DE CORRAL VIVAS,5.50,0,0,0,0.00,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"BULBOS, RAICES Y PLANTAS ORNAMENTALES","1,318.40",35.5,0,35.5,97.2,0,121.9,0,390.4,0,229.40,0,76.6,0,8.9,0,154.9,0,155.2,0,83.8,0,0,0,0,
CAUCHO NATURAL (HULE),59.60,0.00,15,0,14.8,0,14.8,0,0,0,0.6,0,0,0,14.2,0,0,0,0,0,0,0,0.1,0,0,
ESPECIAS,7,0.00,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FLORES Y FOLLAJES,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"FRUTAS FRESCAS, SECAS O CONGELADAS",0.00,5.30,0,0.00,0,0,0,5.3,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,172.30,0.00,0,0.00,0.1,0.00,34.4,0.00,34.9,0.00,21,0.00,0.2,0.00,26.9,0.00,0,0.00,13.5,0.00,0,0.00,27.7,0.00,13.5,
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",29.80,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,4.90,0.00,0.00,0.00,2.10,0.00,4.90,0.00,0.00,
PLATANO,9.00,0.00,0,0.00,9.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,
SEMILLA DE AJONJOLI,0.00,21.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
TABACO EN RAMA O SIN ELABORAR,"1,334.10",33.40,0,0.00,0,0,0,0,56,0.00,16.4,33.4,0,0,0,0,419.8,0,249.6,0,0,0.00,61.1,0,531.3,
INDUSTRIAS MANUFACTURERAS,"81,388.00",610.7,"8,103.40",26.4,"4,223.30",169.1,"4,043.20",23.6,"8,402.30",31,"9,237.40",86.4,"4,051.30",53,"6,242.70",37.3,"7,792.40",9.1,"6,615.10",78.9,"7,583.70",66.9,"8,437.10",29,"6,656.00",
APARATOS ELECTROMECANICOS DE USO DOMESTICO,"2,380.90",1.30,0.8,0,76,0.8,197.4,0,135.8,0,259.8,0.2,150.6,0.3,65.4,0,224,0,383.6,0,140.8,0,441,0,305.8,
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,1.40,0.50,0,0,0,0.3,0.2,0,0,0,0,0,0,0,0,0.10,0,0.1,0,0,0.3,0,0,0,0.9,
APARATOS TRANSMISORES Y RECEPTORES,"1,041.30",0.90,41.7,0,38.4,0.6,9.3,0,60,0,653.6,0,32.3,0.4,0,0,74.6,0,16.9,0,0.8,0,30.6,0,83.2,
ARMAS Y MUNICIONES,9.80,0.00,0,0,0,0,0,0.00,0,0.00,0,0,0,0.00,0,0,0.00,0,9.8,0,0,0,0,0.00,0,
ARTICULOS DE VESTUARIO,171.00,105.60,4.6,0,7.60,105,8.5,0,7.90,0.00,4.10,0,14.8,0.3,11.9,0,16.9,0.3,20.3,0,25.2,0,16.8,0,32.4,
