,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),"232,906.90","13,216.10","11,225.30","1,152.50","11,138.90","1,055.80","14,072.60","1,089.50","37,676.90",754.20,"17,217.70","1,614.30","17,573.70","1,585.30","14,575.00",666.10,"35,486.50","1,119.20","19,012.80","1,088.30","16,348.70",499.00,"19,375.30",750.70,"19,203.50","1,841.20"
INDUSTRIAS AGROPECUARIAS,"7,449.10","3,425.50",414.20,397.40,166.30,409.10,"1,158.50",238.30,971.80,168.50,"1,178.20",339.30,554.00,267.70,408.80,252.50,392.00,147.90,467.60,353.80,997.00,95.60,308.70,96.30,431.80,659.10
"BULBOS, RAICES Y PLANTAS ORNAMENTALES","2,150.40",75.3,0,0,112.70,0,197.60,0,783.8,0,611.10,75.3,196.4,0,149.5,0,3.6,0,0,0,95.8,0,0,0,0,0
CAFE,0.40,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0
CAUCHO NATURAL (HULE),209.70,"2,146.00",0,316.2,0,375.1,73.9,137.8,0,101.8,0,120.6,0,124.2,56.5,0,0,100.10,0.3,162.6,0,0,0,96.3,79,611.3
ESPECIAS,41.4,0.00,0,0,0,0,0,0,0,0,0,0,37.4,0,0,0,0,0,0,0,0,0,4,0,0,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",666.10,0.00,0,0,0,0,142.5,0,0,0,0,0,259.4,0.00,0,0,132.1,0,0,0,0,0.00,132.1,0,0,0.00
MAIZ,376.30,0.00,0,0.00,0,0,0,0,0,0,376.3,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,462.70,0.00,58.4,0.00,0,0.00,157,0.00,0,0.00,5.6,0.00,35.9,0.00,30.6,0.00,37.7,0.00,37.6,0.00,0,0.00,62.7,0.00,37,0.00
PIMIENTA,310.70,0.00,52.50,0.00,16.20,0.00,0.00,0.00,0.00,0.00,62.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.50,0.00,103.60,0.00,69.00,0.00
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",76.30,0.00,0,0.00,0.00,0.00,0,0.00,5.9,0.00,0,0.00,24.9,0.00,6.6,0.00,0,0.00,6.4,0.00,20.5,0.00,6.4,0.00,5.60,0.00
SEMILLA DE AJONJOLI,0.00,"1,204.20",0.00,81.20,0.00,34.00,0.00,100.50,0.00,66.60,0.00,143.40,0.00,143.40,0.00,252.50,0.00,47.80,0.00,191.20,0.00,95.60,0.00,0.00,0.00,47.80
TABACO EN RAMA O SIN ELABORAR,"3,155.10",0.00,303.30,0.00,37.30,0,587.50,0,182.10,0.00,122.30,0,0.00,0,165.20,0,218.60,0,423.30,0,874.20,0.00,0.00,0,241.10,0
INDUSTRIAS MANUFACTURERAS,"221,931.50","4,228.50","10,637.80",245.2,"10,690.90",173.7,"12,682.10",431.4,"36,534.40",250.2,"15,467.50",433.9,"16,755.40",783.3,"13,820.50",163.7,"34,830.20",294.4,"18,218.80",302.2,"14,950.90",99,"18,893.00",321.4,"18,450.00",730
ABONOS Y FERTILIZANTES,11.10,0.00,0.00,0,0.00,0,0.00,0,10.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.50,0,0.50,0.00,0.00,0
ALIMENTOS PREPARADOS PARA ANIMALES,494.50,0.00,83.40,0,0.00,0,104.80,0,0.00,0,87.40,0,0.00,0,21.40,0.00,0.00,0,45.50,0,0.00,0,62.50,0,89.60,0
APARATOS ELECTROMECANICOS DE USO DOMESTICO,"2,618.20",2.20,349.7,0,20.3,0.6,57.00,0,94.00,0,102,0,366.6,0.2,85,0,249.30,0,222.3,0.2,267,0.1,459.2,0,345.8,1.10
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,719.80,0.30,59.5,0,2,0.1,1.8,0.00,0,0.00,59.7,0,0,0.00,1.3,0,503.80,0,50.6,0,1.3,0.3,0,0.00,39.7,0.00
APARATOS TRANSMISORES Y RECEPTORES,"10,826.50",0.50,"1,249.80",0,89.10,0.1,731.6,0,"1,910.10",0.00,"2,647.60",0,"1,957.00",0,231.7,0,634.2,0,567.10,0,464.5,0.4,82.10,0,261.40,0
ARMAS Y MUNICIONES,64.20,0.00,0,0,0.00,0,0.00,0.00,30.80,0.00,2.70,0,0.00,0,0.00,0,30.70,0,0.00,0,0,0,0.00,0,0.00,0.00
ARTICULOS DE VESTUARIO,396.50,"1,379.50",11.8,159.1,42.1,0.3,70.10,298.3,16.60,0,42.20,0,37.30,370.2,34.90,6.3,46.70,123.2,18.70,224.6,2.60,0,57.1,196.9,16.40,0.6
AZUCARES Y ARTICULOS DE CONFITERIA,"1,004.00",130.80,229,0,39.6,0,123,18.7,92.2,18.7,83.7,37.4,87,0,96.9,18.7,136.3,0,72.5,0,42,18.7,1.7,0,0,18.7
BATERIAS ELECTRICAS,121.20,0.1,1.10,0,19.5,0,1.2,0,0.1,0,19.1,0,0,0,21.5,0,4.4,0,13.2,0,14,0.1,0,0,27,0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,57.00,0.60,0,0,0,0,10,0,0.8,0,0.1,0.6,15,0,30.3,0,0,0,0,0,0,0,0,0,0.7,0
CAFE SOLUBLE Y MOLIDO,"3,755.80",0.00,521.70,0.00,90.30,0.00,498.40,0.00,405.60,0.00,105.70,0.00,325.20,0.00,141.10,0.00,540.30,0.00,306.20,0.00,154.60,0.00,408.40,0.00,258.20,0.00
CALZADO,684.80,0.10,43.20,0.00,2.90,0.10,48.00,0.00,30.50,0.00,41.50,0.00,65.90,0.10,22.10,0.00,33.20,0.00,75.00,0.00,131.90,0.00,82.20,0.00,108.30,0.00
CERAS,104.30,0.00,27.50,0.00,0.70,0.00,0.80,0.00,45.40,0.00,0.00,0.00,1.50,0.00,0.00,0.00,3.10,0.00,0.20,0.00,25.00,0.00,0.20,0.00,0.00,0.00
CLAVOS Y TORNILLOS,311.30,0.00,13.40,0.00,19.50,0.00,13.70,0.00,22.50,0.00,42.00,0.00,29.70,0.00,10.60,0.00,41.20,0.00,72.70,0.00,7.00,0.00,26.20,0.00,12.70,0.00
DETERGENTES Y JABONES,"1,165.20",0.00,85.50,0.00,95.80,0.00,70.10,0.00,91.60,0.00,44.70,0.00,146.20,0.00,39.20,0.00,102.90,0.00,58.80,0.00,103.70,0.00,228.90,0.00,97.80,0.00
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",335.70,0.00,138.80,0.00,185.10,0.00,0.00,0.00,1.10,0.00,0.80,0.00,4.70,0.00,0.00,0.00,1.50,0.00,2.20,0.00,0.00,0.00,1.50,0.00,0.00,0.00
GRASAS Y ACEITES COMESTIBLES,36.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.30,0.00
HARINAS DE CEREALES,80.70,0.00,0.00,0.00,0.00,0.00,36.80,0.00,0.00,0.00,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.70,0.00,3.40,0.00,0.00,0.00,0.00,0.00
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,"1,950.60",0.20,221.60,0.00,90.50,0.00,88.80,0.00,222.40,0.00,284.50,0.00,148.80,0.10,107.70,0.00,175.20,0.00,69.20,0.00,435.30,0.00,45.50,0.00,61.00,0.10
HILOS E HILAZAS,421.00,0.00,64.50,0,3.50,0.00,0.00,0.00,0.00,0.00,17.70,0.00,0.00,0.00,119.80,0.00,14.00,0.00,28.20,0.00,46.00,0.00,20.50,0.00,106.80,0.00
