,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),"36,017.90","215,121.80",875.00,"18,578.70","2,227.70","16,858.40","2,241.80","13,994.30","5,808.70","20,250.60","2,328.90","21,814.50","3,368.80","17,723.40","2,356.80","19,912.30","3,220.10","19,388.80","3,944.80","17,236.90","4,726.00","16,807.20","1,960.50","18,221.50","2,958.70","14,335.10"
INDUSTRIAS AGROPECUARIAS,"10,944.80","6,880.20",41.60,907.10,29.70,"2,074.60","1,376.30",476.90,"2,595.50",948.70,602.30,198.90,240.10,618.90,"1,370.10",419.60,638.90,545.10,"1,770.70",415.60,"1,344.10",0.00,424.30,221.70,511.30,53.10
ANIMALES VIVOS DIVERSOS,0.00,1.6,0,0.5,0.00,0,0.00,0,0,0.4,0.00,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0
ARROZ,0.00,139.9,0,0,0,0,0.00,0,0.00,25,0.00,0,0,63.9,0,51,0,0,0.00,0,0.00,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",99.60,"1,910.70",0.00,0,0,0,0,365,99.60,533.3,0.00,138,0,219.2,0,193.3,0,243.40,0,218.6,0,0,0,0,0,0
CARDAMOMO,56,0.00,0,0,0,0,0,0.00,4,0,0,0,0,0.00,0,0,0,0.00,6.5,0.00,0,0,0,0,45.5,0
CAUCHO NATURAL (HULE),"10,307.00",52.10,0,0,29.7,0,"1,359.20",0,"2,486.40",51.4,569.7,0,240.1,0.00,"1,352.90",0,604.7,0.1,"1,603.30",0,"1,296.10",0.00,331.6,0.2,433.5,0.40
FRIJOL,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"FRUTAS FRESCAS, SECAS O CONGELADAS",0.00,851.70,0.00,234.40,0.00,0.00,0.00,0.00,0.00,115.40,0,0.00,0,120.40,0,129.20,0,114.60,0.00,0.00,0.00,0.00,0,137.70,0,0.00
HUEVOS DE AVES,0.00,41.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LEGUMBRES Y HORTALIZAS,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAIZ,0.00,"3,024.80",0.00,552.90,0.00,"2,068.50",0.00,0.00,0.00,143.90,0.00,24.10,0.00,103.20,0.00,0.00,0.00,131.50,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.30
MANZANA,0.00,38.20,0.00,0.00,0.00,0,0.00,0,0.00,38.20,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,135.60,611.30,0.00,119.2,0.00,0,0.00,64.5,0.00,0,0.00,36.8,0.00,111.6,0.00,46.2,0.00,39.7,135.60,73.1,0.00,0,0.00,83.6,0.00,36.6
PIMIENTA,13.90,123.80,0.00,0,0.00,0,0.00,0,5.60,0,0.00,0,0.00,0,0.00,0,0.00,0,8.30,123.8,0.00,0.00,0.00,0.00,0.00,0.00
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",0.00,85.00,0.00,0,0.00,6.00,0.00,47.4,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,15.80,0.00,0.00,0.00,0,0.00,0,0.00,15.8
SEMILLA DE AJONJOLI,332.70,0.00,41.6,0,0,0,17.10,0,0.00,0,32.6,0,0,0,17.1,0,34.20,0,17.1,0,48,0,92.7,0,32.3,0.00
TABACO EN RAMA O SIN ELABORAR,0.00,0.10,0.00,0.1,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00
INDUSTRIAS MANUFACTURERAS,"15,390.30","200,512.60",94.90,"17,234.00","1,657.40","14,397.70",348.40,"12,944.10","2,319.10","19,066.00","1,104.90","20,591.80","2,478.50","16,707.40",316.30,"18,514.10","1,813.60","18,292.40","1,109.70","15,781.00","2,440.10","16,456.50",27.40,"17,787.80","1,679.90","12,739.60"
ABONOS Y FERTILIZANTES,0.00,92.80,0,90.9,0.00,0,0.00,0.00,0.00,2.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0.00
ALIMENTOS PREPARADOS PARA ANIMALES,0.00,"1,039.80",0,16,0,104.7,0.00,72.4,0.00,69.2,0.00,132,0.00,118.8,0.00,39.7,0.00,123.1,0.00,125.1,0.00,78.6,0,116.8,0.00,43.3
APARATOS ELECTROMECANICOS DE USO DOMESTICO,22.60,"5,697.40",2.3,379,0.4,164.2,0.2,409.6,0,955.7,0,473.1,6.1,545.7,2.4,299.8,8,300.5,2.4,454.6,0.2,674.8,0,549.3,0.5,491.1
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,0.70,252.40,0.00,0.1,0.1,0.2,0,4.8,0,6.6,0,2.5,0.4,0.7,0,49.3,0,0.3,0.1,153.2,0,0.3,0,5.9,0.1,28.4
APARATOS TRANSMISORES Y RECEPTORES,1.20,279.40,0.1,7.9,0,2.8,0,2.2,0,14.7,0,0.2,0.7,72.2,0.3,0.3,0.2,12.4,0,2.5,0,113.6,0,3.6,0,47.1
ARMAS Y MUNICIONES,0.00,172.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.10,0.00,0.00,0.00,76.20,0.00,0.00,0.00,0.00,0.00,45.90,0.00,0.00
ARTICULOS DE VESTUARIO,142.30,397.80,0.10,10.50,0.10,7.90,1.90,49.00,0.40,41.10,65.40,41.80,8.00,56.60,51.50,14.10,7.70,22.50,0.90,41.70,3.50,37.70,2.60,44.00,0.20,30.80
AZUCAR,0.00,3.60,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40
AZUCARES Y ARTICULOS DE CONFITERIA,330.80,532.60,0.00,34.50,0.00,21.40,15.30,0.00,33.50,22.40,34.30,7.00,34.00,32.70,37.70,15.90,17.40,26.20,49.30,88.90,48.40,64.60,11.20,85.40,49.70,133.70
BATERIAS ELECTRICAS,0.00,269.90,0.00,13.60,0.00,0.00,0.00,0.00,0.00,18.30,0.00,0.30,0.00,3.00,0.00,28.60,0.00,0.00,0.00,0.50,0.00,9.00,0.00,61.40,0.00,135.20
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,48.90,55.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.90,0.00,0.20,48.90,18.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00
CAFE SOLUBLE Y MOLIDO,0.00,608.50,0.00,76.00,0.00,0.00,0.00,0.10,0.00,46.20,0.00,0.00,0.00,0.00,0.00,65.20,0.00,128.90,0.00,57.20,0.00,234.80,0.00,0.00,0.00,0.10
CALZADO,0.20,"2,591.00",0.00,59.50,0.00,266.50,0.10,91.80,0.00,143.70,0.00,115.00,0.00,159.20,0.00,184.00,0.00,131.90,0.00,89.00,0.00,504.60,0.00,562.80,0.00,282.90
CERAS,0.00,178.60,0.00,2.00,0.00,2.60,0.00,8.30,0.00,1.40,0.00,38.10,0.00,11.10,0.00,4.60,0.00,53.90,0.00,9.70,0.00,1.30,0.00,40.60,0.00,5.10
CLAVOS Y TORNILLOS,0.00,356.90,0.00,12.8,0.00,19.10,0.00,66.60,0.00,16.50,0.00,9.20,0.00,41.30,0.00,25.70,0.00,29.80,0.00,31.20,0.00,52.50,0.00,45.30,0.00,6.90
DETERGENTES Y JABONES,0.00,"1,807.90",0.00,154.60,0.00,379.90,0.00,144.90,0.00,216.10,0.00,260.20,0.00,150.80,0.00,153.80,0.00,145.20,0.00,0.00,0.00,118.60,0.00,67.60,0.00,16.20
GRASAS Y ACEITES COMESTIBLES,0.00,"1,084.50",0.00,0.00,0.00,196.70,0.00,182.20,0.00,84.20,0.00,242.80,0.00,73.20,0.00,0.00,0.00,69.70,0.00,91.40,0.00,23.90,0.00,46.00,0.00,74.40
HARINAS DE CEREALES,0.00,172.20,0.00,0.00,0.00,0.00,0.00,43.80,0.00,0.00,0.00,43.70,0.00,0.00,0.00,44.40,0.00,0.30,0.00,0.00,0.00,0.20,0.00,39.60,0.00,0.30
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,2.00,"3,249.70",0.00,284.60,0.00,153.90,0.00,262.00,0.00,261.80,0.00,220.10,0.90,360.00,0.40,118.40,0.70,517.30,0.00,179.70,0.00,148.30,0.00,355.20,0.00,388.30
HILOS E HILAZAS,0.00,427.20,0.00,44.90,0.00,94.7,0.00,0.10,0.00,0.50,0.00,87.10,0.00,2.10,0.00,0.00,0.00,91.80,0.00,45.20,0.00,0.00,0.00,4.70,0.00,56.10
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES","10,932.70","1,657.60",0.00,196.50,"1,143.70",198.50,0.00,212.20,"1,926.90",101.90,766.20,156.60,"1,607.50",74.60,65.50,120.40,"1,536.90",69.40,895.30,33.50,"2,387.60",271.70,0.00,161.60,603.20,60.60
