,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),100373.9,158698.1,4969,9072.9,9530.5,10103.3,7134.7,35328.5,2272.5,22936.1,7777.6,13794.9,9475.6,6834.1,19332,11576.8,5689.1,15658.4,11002.3,6938.7,8328.9,4199.1,10064.8,3158.7,4796.8,19096.6
INDUSTRIAS AGROPECUARIAS,6614.5,94643.2,194.5,8281.1,710.1,8900,636.2,10307.5,303.4,7976.1,3337,12779,343.9,4947.4,215.4,10216.1,261.8,14264.3,145.4,5416.1,197.7,2743.5,179.6,1798.8,89.5,7013.5
AVES DE CORRAL VIVAS,114,0,0,0,0,0,0,0,0,0,3.6,0,0,0,59,0,0,0,0,0,51.5,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",686.7,152.6,55.8,18.2,65.6,10.7,60.1,17,70.5,9.1,22.6,7,67.5,10.3,59.9,23.7,81.4,13,57.7,11.2,49.8,5.2,78.3,9.6,17.5,17.5
CACAO,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAFE,0,87463.2,0,7687.6,0,7695.3,0,9153,0,7185.6,0,12269.5,0,4416.4,0,9923,0,13937.6,0,5189.7,0,2274,0,1329.1,0,6402.3
CARDAMOMO,0,1392.8,0,445.3,0,71.4,0,1.9,0,6.2,0,0,0,213.5,0,0,0,1,0,7.8,0,86.6,0,121.5,0,437.7
CAUCHO NATURAL (HULE),0,3125.5,0,0,0,857.8,0,980.5,0,610.5,0,101.7,0,183.4,0,44.8,0,62,0,0,0,153.9,0,64.5,0,66.4
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)",702.5,0,0,0,51,0,97,0,84.3,0,68.6,0,10.9,0,96.5,0,72.8,0,21.3,0,96.5,0,81.7,0,22,0
ESPECIAS,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLORES Y FOLLAJES,0,42.6,0,3.6,0,15.4,0,2.1,0,3.3,0,2.6,0,2.5,0,2.2,0,2.5,0,2.1,0,2.2,0,3.1,0,0.9
FRIJOL,0,341.1,0,20.3,0,20.7,0,21.2,0,26.2,0,23.8,0,28.9,0,29.5,0,27,0,31.5,0,34.2,0,35,0,42.9
"FRUTAS FRESCAS, SECAS O CONGELADAS",0,345,0,7.7,0,24.1,0,19.6,0,31,0,74.4,0,18.4,0,76.5,0,81.8,0,0,0,0,0,11.5,0,0
