,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),348145.5,90725.6,18418.8,6168.9,33674.8,6736,51927.3,7428.8,37397.3,7485.9,33216.6,8924.9,39401.4,8171.2,26464.7,11263.7,31470.3,8412.9,26031.3,5393,5780.3,4285.2,12735.5,8040.2,31627.2,8414.8
INDUSTRIAS AGROPECUARIAS,91973.1,4180.6,8587.2,397,9511,593,9627.5,863.8,10076.4,603.3,5640.4,623.7,8234.7,97.1,15101.8,98.3,9440.3,223.1,5197.2,76.5,2263.3,118.4,1261.1,136.1,7032.2,350.4
ANIMALES VIVOS DIVERSOS,0,2.7,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0.8,0,1.1,0,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",1139.2,772.9,436.2,47.2,357.1,148.3,103.8,110,27.1,86.6,8.1,113,9.2,8.6,5.7,61.1,14.6,40.6,8.3,0,19.4,36.9,18.3,74.8,131.3,45.8
CAFE,83708.4,0,7850.9,0,8876.3,0,9293.1,0,9597,0,4828.2,0,7612.8,0,14440.7,0,8710.3,0,4471.5,0,1509.7,0,611.2,0,5906.8,0
CARDAMOMO,845.6,0,0,0,0,0,0,0,33.2,0,60.1,0,0,0,0,0,74.4,0,106.6,0,99.3,0,0,0,472,0
CAUCHO NATURAL (HULE),2332.6,0,49.9,0,48.9,0,159.3,0,90.9,0,219.6,0,291.7,0,338.7,0,259.3,0,202.7,0,323.2,0,241.8,0,106.6,0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)",0,388.2,0,40.4,0,0,0,8.1,0,0,0,43,0,23.4,0,21.9,0,123.3,0,60.8,0,20.9,0,24.9,0,21.5
ESPECIAS,0.2,57.5,0,12.3,0,0,0,15.3,0,0,0,0,0,0,0,15.3,0,0,0,14.5,0,0,0,0,0.2,0
FLORES Y FOLLAJES,33.6,0,4.9,0,2.9,0,2,0,3.2,0,3.4,0,2.5,0,2.8,0,3.3,0,2.6,0,3.1,0,1.2,0,1.6,0
FRIJOL,147.8,0,10.7,0,12.4,0,12,0,10.6,0,10.4,0,11.8,0,12,0,9.1,0,9.5,0,13.5,0,14.7,0,21,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",2859.8,0,144.5,0,94,0,8.7,0,248,0,493,0,290.3,0,284.2,0,331.1,0,259.1,0,177.4,0,270.2,0,259.1,0
LEGUMBRES Y HORTALIZAS,331.8,345.9,16,0,16.4,0,9.9,37.3,13.6,37.3,16.5,35.6,16.4,65.1,17.6,0,16.7,49.7,57.5,0,57.1,60.6,74,36.4,20.3,24
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,206.4,45.1,74.1,0,85.6,7.4,38.8,0,1,14.1,0,6.4,0,0,0,0,4.2,8.7,2.1,0,0.6,0,0,0,0,8.5
PAPA,0,2451.3,0,266.3,0,395.9,0,692.3,0,420.6,0,425.7,0,0,0,0,0,0,0,0,0,0,0,0,0,250.6
PIMIENTA,201.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60,0,0,0,81.3,0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",1.2,86.1,0,0,0,41.4,0,0,0,44.7,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
