,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL,"405,856.10","257,839.90","30,813.70","17,307.90","29,497.60","19,108.40","35,705.90","21,278.20","29,744.60","18,055.90","38,167.60","24,389.70","34,443.80","21,055.60","33,610.60","21,217.40","33,289.20","22,576.80","35,361.20","21,436.40","38,478.80","24,340.80","35,408.50","25,485.10","31,334.70","21,587.70"
INDUSTRIAS AGROPECUARIAS,"4,592.90","11,538.80",161.2,605.80,219.8,"1,084.00",210,550.50,340.2,724.50,712.3,583.70,588,751.4,520.2,449.80,364.2,"2,035.00",395.7,970.40,492.8,"1,315.80",360,"1,102.50",228.6,"1,365.40"
AJO,0,2.5,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGODON,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANIMALES VIVOS DE GANADERIA,199.00,434.5,7.7,0,44.7,0,0,0,30.5,0,4.5,0,31.5,3.3,0,0,0,234.7,61.5,0,0,191.5,18.7,0,0,5
ANIMALES VIVOS DIVERSOS,20.6,0,1.2,0,0,0,0,0,0.3,0,11,0,0,0,0,0,5.3,0,1.2,0,1.5,0,0,0,0,0
ARROZ,38.6,0.00,0,0,0,0,6.5,0,6.5,0,13,0,5.3,0,4.1,0,0,0,0,0,0,0,0,0,3.3,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES","1,395.80",274.80,36.4,4.7,31.4,2,43.8,89.1,70.4,4.1,426.5,0.4,60.1,30.7,12.8,2.3,102.1,28.7,153.7,0,210.8,73.7,135,27.3,112.9,11.7
CAFE,0.6,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAUCHO NATURAL (HULE),10.6,"10,042.70",0.8,544.6,0,"1,049.90",0,434.3,0,690.8,6.7,455.8,0.7,648,1.8,395,0.6,"1,633.80",0,935.4,0,969.9,0,"1,027.10",0,"1,258.10"
CEBOLLA,24.1,10.00,16.7,0,0,0.00,0,0,0,0.00,0,0,0,1,0,2.70,7.4,6.30,0,0,0,0.00,0,0.00,0,0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)",0,7.8,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ESPECIAS,382.2,95.7,10.3,16.3,60.3,15,23.8,0.8,34.7,0.9,28.5,27.1,24.6,1,25.3,1.5,15.3,15.8,12,0,60.6,16.5,78.2,0,8.7,0.9
FLORES Y FOLLAJES,17.1,55.8,1,0,3.2,0,1,0,0.6,0,2.1,0,0.7,0,0.5,0,1.8,28.3,1.4,2.3,2.3,8.3,1.5,10.5,1,6.3
FRIJOL,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"FRUTAS FRESCAS, SECAS O CONGELADAS",549.2,73.4,6.6,0,0,0,0.8,0,0,5,9.7,10,0,21.3,31.5,2.5,117.4,1.5,81.1,0,166.5,0,85.3,13,50.4,20.1
HUEVOS DE AVES,10,1.10,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,7.6,0,0,0.00
LEGUMBRES Y HORTALIZAS,8.7,68.40,0,0,0,0,0,0,0,0,0,0,3.8,13.4,0,3.1,1.6,26,0,0,0,0,0,6.4,3.2,19.5
MAIZ,0,133.5,0,0,0,4.3,0,0,0,0,0,45.9,0,18.2,0,0,0,50.8,0,0,0,14.2,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,768.2,32.80,64,0,71.8,0,82.4,2.4,87.7,0,67.1,4.7,98.2,6,79.2,5.9,63.7,0,74.3,2.6,35.4,0,19.7,8.5,24.9,2.7
PIMIENTA,22.2,2.10,2.8,0.1,5,0,0.7,0,0.5,0,0,0.1,0,0,2.4,0,0,0.1,7.5,0,0.5,0,0,1.7,2.9,0
