,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),"425,713.00","595,532.10","31,686.40","43,467.20","31,571.50","52,900.60","35,219.00","47,628.30","33,490.00","48,143.50","35,695.20","53,322.50","38,303.20","50,974.10","38,281.90","46,127.40","32,798.10","50,838.40","34,287.30","50,450.10","34,161.00","49,779.30","40,105.00","48,884.90","40,114.40","53,015.70"
INDUSTRIAS AGROPECUARIAS,"13,312.10","7,274.60",919,424.00,957.9,514.60,831.2,254.80,"1,198.50",620.00,"1,103.70","1,010.30","1,223.90",858.50,"1,008.50",804.80,"1,518.30",671.00,"1,050.10",469.40,823.8,475.50,"1,148.10",646.20,"1,529.20",525.70
AJO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANIMALES VIVOS DE GANADERIA,5.60,190.2,2.5,0,0,5.6,0,0,0,0,0,18.1,0.6,91.1,0,9,0,30.7,0,8,0,17.2,0,0,2.5,10.4
ANIMALES VIVOS DIVERSOS,0.60,11.8,0,3.9,0,0,0.2,0.7,0,0.4,0,0,0,0,0,0.7,0.3,0,0.2,1.4,0,0,0,0.6,0,4
ARROZ,34.7,"1,252.30",0,4.6,0,0,0,0,0,123.4,0,318.2,0,212.9,0,198,0,142.2,0,136,34.7,65.4,0,0,0,51.6
BANANO,0.00,37.30,0,0,0,31.4,0,2.1,0,2.2,0,0.6,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",367.90,679.30,0,3.40,0,19.7,1.8,53.5,23.9,123.3,0,49.2,2.1,56.20,68.2,177.60,30.5,169.10,2.7,1.30,73,0.00,95.1,0.20,70.6,25.9
CAFE,"1,872.80",0.00,66.6,0,232.8,0,175.1,0,395.9,0.00,419.3,0,176.3,0.00,103.9,0.00,302.2,0,0.8,0.00,0,0,0,0,0,0
CARDAMOMO,10.3,0.00,2.8,0,0,0.00,0,0,0,0,2.5,0,0,0,1.8,0,1.7,0.00,0,0.00,0,0.00,0,0.00,1.5,0.00
CAUCHO NATURAL (HULE),"7,749.10",176.80,683.5,0.00,549.5,0.00,407.6,28.80,506.9,2.70,476,28.70,757.1,0.00,494.8,28.70,802,14.10,539.5,28.70,581.3,15.10,794.5,29.30,"1,156.30",0.90
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)",3.7,0.00,0,0.00,0.5,0.00,0,0.00,2.1,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1.1,0.00
ESPECIAS,370.5,85.40,36.2,8.70,8.4,6,34,3.2,52.9,8.90,20.2,7.3,37.6,5.2,17.5,0,39.3,5.5,57.8,13.9,10.7,3.10,5.2,10.6,50.8,13
FLORES Y FOLLAJES,342.5,0,4.4,0,8.8,0,105.3,0,6.5,0,6.8,0,13.4,0,11.4,0,21.8,0,112.4,0,9.8,0,13.8,0,28,0
FRIJOL,0,77.2,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,0,0,0,26,0,25.8
"FRUTAS FRESCAS, SECAS O CONGELADAS","1,193.60","3,308.90",6.7,310.3,40.8,335,47,83.7,36.4,198.2,50.3,452.5,147.8,342.1,245.3,330.8,227.2,90,175.6,179.2,93.2,272.2,46,447.5,77.4,267.4
LEGUMBRES Y HORTALIZAS,182.40,266.00,0.6,29.5,1.3,55.5,0.9,0,1.7,31.3,1,18.9,1.7,0,1.7,10.8,19.7,31.1,74.3,0,0,26.2,70.8,0,8.7,62.60
MAIZ,111.20,31.10,0,4.1,0,0,0,0,64.2,5.3,0,6.9,9.2,0,0,0,27,4.8,0,0,0,2.7,0,0,10.8,7.4
MATERIAS VEGETALES,3.5,14.10,0,5.4,0,0,0,0,0,0,0,2,1.7,1.9,0,0,1.7,0,0,1,0,1.9,0,1,0,1
MIEL DE ABEJAS,237.2,0.00,0,0,0,0,0,0,60.3,0,60.3,0,0,0,0,0,0,0,0,0,0,0,58.3,0,58.3,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,148.1,625.20,14.2,31.8,2.4,2.7,2.3,54.1,6.5,94.9,4.8,72.6,31.5,70.2,22.5,45.8,30.2,103.3,11.8,55.4,11.1,20,9.9,57,1,17.4
PIMIENTA,34.5,295.8,1.3,6.1,2.2,11.8,0.3,12.1,12.8,20.6,0,23.9,3.1,34.3,4.1,3.2,0,35.7,5.5,30.2,0.8,30.6,0.2,59.5,4.2,27.8
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",215.8,217.3,7.1,1,19.8,46.8,9.6,16.5,28.5,8.8,11.5,11.4,41.7,44.5,20.3,0.1,14.6,31.6,35.5,13.4,9.3,17.9,7.1,14.6,10.8,10.6
PLATANO,24.70,0,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEMILLA DE AJONJOLI,403.30,0.00,68.50,0.00,91.20,0.00,47.20,0.00,0.00,0.00,51.00,0.00,0,0,17,0,0,0,34,0,0,0,47.2,0,47.2,0
YUCA,0.00,6.00,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.00,0.00,0.00,0.00
INDUSTRIAS MANUFACTURERAS,"400,288.40","573,274.50","29,644.50","42,172.80","29,484.60","51,088.30","33,147.40","46,245.30","31,116.70","46,239.50","33,405.70","50,738.20","35,852.90","48,537.60","36,085.80","44,309.00","30,366.80","48,763.30","32,579.00","48,445.20","32,735.80","48,164.50","38,332.30","47,331.30","37,536.90","51,239.30"
ABONOS Y FERTILIZANTES,"3,475.40",389.40,212.00,0.00,487.80,43.40,252.30,15.90,156.20,69.90,243.60,54.50,278.40,29.80,485.70,10.80,257.70,14.70,183.20,49.30,233.90,55.80,348.80,32.10,335.90,13.20
ALIMENTOS PREPARADOS PARA ANIMALES,"1,147.50","2,727.60",149.00,155.00,153.10,170.40,39.90,393.60,133.10,278.20,18.00,201.50,96.20,282.00,126.80,255.60,62.30,312.60,45.30,300.70,140.70,120.50,75.20,91.20,108.00,166.30
APARATOS ELECTROMECANICOS DE USO DOMESTICO,681.90,"3,710.80",31.60,708.20,15.00,325.70,51.90,545.50,13.80,170.60,82.10,460.50,113.90,219.80,60.70,145.60,15.70,227.40,165.80,232.10,51.10,196.30,30.60,287.50,49.70,191.50
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,92.60,"6,352.40",2.60,271.10,6.10,36.60,4.50,15.00,0.00,20.00,4.50,9.70,11.40,40.30,35.60,51.50,0.20,37.00,7.60,990.70,0.10,50.90,17.10,91.00,2.90,"4,738.70"
APARATOS TRANSMISORES Y RECEPTORES,"2,120.40","1,063.80",18.7,177.4,14.1,62,724.00,66.9,396.80,68.5,246.00,59.00,266.90,35.4,221.30,49.6,27.90,22.3,54.70,29.30,128.1,77.1,19.80,29.8,2.00,386.4
ARMAS Y MUNICIONES,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10
ARTICULOS DE VESTUARIO,"5,609.00","1,191.60",349.10,100,420.30,85.7,453.30,94.8,320.10,52.80,412.80,87.00,656.30,77.1,549.60,149.10,477.50,71.6,369.90,90.90,502.30,129.8,376.40,142,721.40,110.80
AZUCAR,0.00,0.10,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZUCARES Y ARTICULOS DE CONFITERIA,"6,828.50","4,820.10",611.50,238.1,536.80,355.7,542.40,351.7,461.20,398.9,553.10,376.9,488.80,417.4,508.20,464.8,557.60,480.7,495.10,413.1,679.50,380.9,749.40,623,645.00,318.80
BATERIAS ELECTRICAS,834.10,"1,015.40",7.60,142.1,47.10,84.4,51.60,1.7,8.50,131,19.50,49.2,152.80,60.8,47.90,4.7,73.10,129.5,71.50,83.5,81.60,82.4,160.80,85,112.00,161.10
