,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),289152.5,85110.8,32953.7,11783.4,15243.4,5236.3,21699.9,7922.9,26156.8,6391,22549.2,7592.3,20927.7,7476.3,26599.7,7004.9,32109.1,3787.4,28000.7,8750.9,26479.1,11432.2,18227.3,5430.6,18205.8,2302.6
INDUSTRIAS AGROPECUARIAS,2242.3,60947,95.6,2736.6,389,4485.5,206.5,7099.6,72.6,5641.5,52.2,7013.2,215.8,5873.3,256.2,4087.4,359.8,2514.5,190.2,8189.8,137.2,8439.7,178.2,3493.6,89.1,1372.6
AVES DE CORRAL VIVAS,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.9,0,5.1,0,0,0,0,0,0,0
BANANO,0,4827.6,0,162,0,162,0,430.1,0,277,0,284.3,0,244.1,0,1136.4,0,422.7,0,423,0,673.9,0,320.4,0,291.6
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",203.9,1390.1,0.1,12,18.2,77.9,11.3,47.9,54.2,54.3,7.8,114.5,14.3,92.2,6.8,370,47.8,11.3,7.2,15.4,21.9,291.9,13.1,292.1,1.2,10.4
CAFE,0,27982.2,0,2041.2,0,3209,0,5761.3,0,4554.5,0,4627.9,0,3316.2,0,1324.2,0,922.3,0,742.7,0,153.6,0,703.5,0,625.7
CARDAMOMO,0,2371.6,0,0,0,652.5,0,98.3,0,160.2,0,20,0,322.7,0,313,0,288.1,0,63,0,12.8,0,180.5,0,260.6
CAUCHO NATURAL (HULE),148.4,58.5,54,0,0,0,0,0,0,0,0,58.5,0.5,0,18,0,0,0,42,0,10.4,0,0,0,23.5,0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)",8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,0,0,0
ESPECIAS,237,0.1,0,0,51.9,0,27.3,0.1,0,0,37.7,0,29.4,0,0.1,0,0,0,0,0,67.2,0,23.5,0,0,0
FLORES Y FOLLAJES,0,30.2,0,1.7,0,3.2,0,4,0,3.5,0,1.7,0,2.8,0,1.3,0,1.3,0,2.9,0,3.2,0,1.1,0,3.5
FRIJOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",6.3,865.9,0,42.8,0,63.6,0,150.9,0,53.8,0,146.7,1.9,0,0,124,0,0,0,0,2.3,40.4,1.9,133.4,0,110.1
HUEVOS DE AVES,313.4,0,0,0,0,0,83.4,0,0,0,0,0,83.5,0,0,0,0,0,81.6,0,0.7,0,0,0,64.3,0
LEGUMBRES Y HORTALIZAS,0,322.1,0,115.6,0,20.5,0,7.3,0,27.8,0,26.6,0,5.5,0,18,0,18,0,0,0,0,0,12.2,0,70.6
MAIZ,0,0.3,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATERIAS VEGETALES,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
MIEL DE ABEJAS,0,5475.3,0,43.1,0,83.6,0,167.3,0,334.6,0,1500.6,0,1740.3,0,752.5,0,379.6,0,473.8,0,0,0,0,0,0
