,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),148321.8,280716.1,3642.4,22348.6,5227.8,17987.3,11516.7,19487.7,17681.9,31400.5,13037.7,25130.7,6592.4,23931.3,15482.5,22263.9,19246.8,23267.7,11156.3,23373.5,9289.8,24990.3,20106.7,23161.7,15340.7,23372.8
INDUSTRIAS AGROPECUARIAS,49251.5,2739.9,2328.2,149.2,3925.6,72.1,5707.5,606.2,8110.9,95.7,6302.9,30.4,5275.6,275,3576.7,414.6,5264.6,93.4,3870,117.7,923.2,93,1750.6,256.6,2215.7,535.9
AVES DE CORRAL VIVAS,0,351.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351.3
BANANO,4774.6,0,270.9,0,135,0,428.9,0,1165.4,0,243,0,176.3,0,87.5,0,269.7,0,320.8,0,406.4,0,730.1,0,540.6,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",2394.1,131.6,260.8,1.2,83.9,0.2,21.8,32.6,137.4,18.7,500.6,7.5,19.3,12.9,419.8,23,62.6,0.5,432.1,0,55.8,0.3,266.4,18.8,133.8,16
CAFE,30677.3,0,1256.1,0,2927.3,0,4532.4,0,6048.9,0,4919.5,0,4343,0,2219.3,0,2356.2,0,1116.6,0,0,0,288.8,0,669.2,0
CARDAMOMO,2335,0,322.8,0,460.6,0,444.6,0,177.5,0,75,0,82.4,0,0,0,49.1,0,139,0,0,0,292,0,291.9,0
CAUCHO NATURAL (HULE),64.3,182.3,0,42,19.8,9.1,0,54.3,20.8,0,0,1.6,0,55.4,0,0,0,0.1,0,0,0,0,0,0,23.7,20
CEBOLLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)",0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0
ESPECIAS,0,312.3,0,0,0,4.1,0,95.8,0,0.1,0,4.3,0,5.4,0,81.4,0,0,0,5.2,0,0,0,116,0,0
FLORES Y FOLLAJES,25.6,0,2.9,0,1.9,0,3.6,0,2.1,0,1.8,0,2.7,0,1.9,0,1.9,0,1.7,0,1.9,0,1.1,0,2.1,0
FRIJOL,29.3,0,0,0,29.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",764.4,6.6,32.8,0,6.7,0,21,2.5,81.9,0.1,168.3,0.2,46,0,9.2,2.6,155.3,0,66,0,57.5,0,38,1.2,81.7,0
HUEVOS DE AVES,0,510.8,0,0,0,46.4,0,81.6,0,0,0,6.8,0,106.3,0,182.4,0,0,0,3.8,0,83.4,0,0,0,0
LEGUMBRES Y HORTALIZAS,472.3,0,62.1,0,44,0,69.2,0,47.9,0,31.5,0,0,0,11,0,32.7,0,0,0,0,0,2.6,0,171.3,0
MIEL DE ABEJAS,1160.7,0,0,0,0,0,0,0,214.2,0,153,0,290.3,0,441.2,0,62.1,0,0,0,0,0,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,92.1,610,1.2,105.9,1.1,5.3,6.7,81.6,63.9,1.2,0,1,0,88.7,10.3,1,0,90.7,8.8,80.3,0,8.1,0,5.7,0,140.7
PIMIENTA,840.8,367.4,95,0,37.9,0,17.3,242.6,59.9,0,17.3,0,0,2.3,20.7,72.9,358,2.2,199.2,0,0,0,0,47.3,35.7,0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",1574.1,263.8,0,0,91,7.1,91,15.3,91,75.6,169.3,9.1,221.1,3.9,91,47.7,45.5,0,271,28.3,232.8,1.2,89.7,67.6,180.7,8
SEMILLA DE AJONJOLI,737.5,0,23.5,0,87,0,71,0,0,0,23.8,0,94.5,0,23.8,0,47.3,0,71,0,168.8,0,41.9,0,85,0
TABACO EN RAMA O SIN ELABORAR,3309.1,0,0,0,0,0,0,0,0,0,0,0,0,0,241.2,0,1824.1,0,1243.8,0,0,0,0,0,0,0
INDUSTRIAS MANUFACTURERAS,97507.7,273226.8,1314.2,21787.4,937.9,17545.9,5433.5,18647,8986.6,30711,6564.7,24651.5,1298.5,23299.3,11902.4,21312.6,13963.1,22793.3,7286,23061.7,8366.7,24493.4,18334.3,22592.5,13119.8,22331.1
ABONOS Y FERTILIZANTES,0,648.8,0,132.4,0,21.4,0,28.4,0,54.4,0,30.8,0,241.7,0,62.5,0,64.3,0,3.2,0,2.9,0,3.5,0,3.2
ALIMENTOS PREPARADOS PARA ANIMALES,0,76.1,0,0,0,0,0,0,0,0,0,0,0,33.2,0,0,0,0,0,0,0,26.5,0,0,0,16.3
APARATOS ELECTROMECANICOS DE USO DOMESTICO,2.4,871.4,0,36.1,0,110.5,0,22.4,0,74,0,67.2,1,59.5,0,47.5,0.6,56.1,0,126.1,0,152.4,0,46.8,0.7,72.7
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,17,776.8,0,26.1,0,57.6,0,296.4,0,11.6,0,18,0.1,42,15,139.5,0,37.4,0,30.1,0,28.9,0,73.6,1.7,15.6
APARATOS TRANSMISORES Y RECEPTORES,3.6,670.4,0,25,0,24.4,0,76.5,0.1,72,0,14.3,1.3,179.6,0,89.9,0,18.1,0,30,0,69.1,1.5,45.7,0.7,25.7
ARMAS Y MUNICIONES,1.6,527,0,0,0,0,0,0,0,0,0,290.9,0,0,1.6,4.2,0,0,0,232,0,0,0,0,0,0
