,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL,75306.7,55048,5520.1,3036.1,11205.3,7606.5,11547.4,5390.3,4721,9338.8,5053.3,5458.1,4572.8,4959.9,5917,7812.1,3131.3,2490.8,5187.2,1363.1,9593.4,2987.1,3868.2,1636,4989.7,2969.1
INDUSTRIAS AGROPECUARIAS,268.2,34721.7,0,2638.2,35.9,4696.3,33.9,4753.5,4.8,4951.4,3.6,3970.5,0.9,3853,50.2,3791.2,34.2,1421.6,9.6,1041.2,0,897.3,0,710.3,95.1,1997.3
ANIMALES VIVOS DIVERSOS,0,6.2,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0
ARROZ,45.5,0,0,0,0,0,0,0,4.8,0,0,0,0,0,40.7,0,0,0,0,0,0,0,0,0,0,0
BANANO,0,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.4
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",17.8,240.1,0,32.4,5,17.1,4.9,15,0,10.7,0,16.6,0,23.7,5.6,32.7,0,6.6,2.4,12,0,26.6,0,12.7,0,34
CAFE,0,32314.4,0,2431.5,0,4636.9,0,4592.5,0,4864.6,0,3673.3,0,3429.3,0,3467.8,0,1408.1,0,850,0,618.9,0,412.8,0,1928.6
CARDAMOMO,0,53.5,0,0,0,0,0,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAUCHO NATURAL (HULE),33.1,726.8,0,174.3,29.2,42.3,0,0,0,0,0,0,0,0,3.8,165.2,0,0,0,0,0,60.3,0,284.8,0,0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)",0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLORES Y FOLLAJES,0,48.6,0,0,0,0,0,0,0,8,0,16.3,0,9.2,0,0,0,6.9,0,8.3,0,0,0,0,0,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",0.1,52.4,0,0,0,0,0,8.6,0,0,0,30.9,0,3.1,0,2.6,0,0,0,2.2,0,5,0,0,0.1,0
LEGUMBRES Y HORTALIZAS,0.4,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,2.3
MIEL DE ABEJAS,0,311.2,0,0,0,0,0,0,0,68,0,60.4,0,60.4,0,0,0,0,0,61.2,0,61.2,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,9.6,0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",156.9,0,0,0,1.8,0,29,0,0,0,3.6,0,0.9,0,0,0,29.4,0,7.3,0,0,0,0,0,85.1,0
SEMILLA DE AJONJOLI,0,197.9,0,0,0,0,0,0,0,0,0,57.2,0,0,0,16.9,0,0,0,0,0,123.8,0,0,0,0
TABACO EN RAMA O SIN ELABORAR,0,735.4,0,0,0,0,0,83.8,0,0,0,110.7,0,327.3,0,106,0,0,0,107.5,0,0,0,0,0,0
