,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),132938.5,132551.6,11707.2,16979.3,17021.2,7835.4,9816.4,9238.7,9726.5,8497.4,7743.6,7524.4,11358.4,11628.3,9489.2,9490.7,8145.1,24804.8,6269.1,13822.1,7648.2,6725.8,11286.8,8531.7,22726.9,7473.1
INDUSTRIAS AGROPECUARIAS,54205.7,792.8,5001.7,122.1,4845.1,59.8,4352.6,84.3,4021,136,4421.3,2,4943.8,39.4,4215.9,27.7,4573.5,53.5,5016.1,13.4,5620,9.7,667.3,71.9,6527.4,173.1
ANIMALES VIVOS DIVERSOS,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0
BANANO,24118.5,0,2789.6,0,1787.2,0,2153.5,0,902.4,0,175.5,0,0,0,547.3,0,2511.4,0,2789.1,0,4858.8,0,302,0,5301.6,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",344.2,4.2,11.9,0.1,41.4,0,12.1,0,34.6,0,17.9,0.1,45.1,3.7,7.5,0.1,41.8,0,37.3,0.2,41.6,0,18.7,0,34.4,0.1
CAFE,28913.2,0,2133.7,0,2913.2,0,2182.9,0,3053.4,0,4016.8,0,4823.3,0,3659.6,0,2020.2,0,2038.7,0,719.5,0,316.5,0,1035.4,0
CARDAMOMO,72.2,0,0,0,70.6,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0
CAUCHO NATURAL (HULE),188.5,394.4,25.5,58.7,24.2,0,2,79.9,30.3,82,0,0,0,27.2,0,27.6,0,27.8,0,0,0,0,30.1,57.4,76.3,33.8
FLORES Y FOLLAJES,0,7.9,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",289.9,191.8,0,48.7,2.8,47.3,1,0,0,39.5,55.3,0,0,0,0,0,0,0,151,0,0,0,0,0,79.8,56.3
MANZANA,0,70.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.1
MIEL DE ABEJAS,230.5,0,0,0,0,0,0,0,0,0,155,0,75.5,0,0,0,0,0,0,0,0,0,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,18.3,5.2,10.4,0,5.8,0,1.1,0,0.4,0,0.6,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0
