,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL,290128.3,27850.4,31572.8,2909,21619.9,2209.4,27437.8,2371.2,23915.3,2696,23594.5,1543.2,20594.5,2220.9,20770.5,1920.6,27772,1874.1,19428.2,1758.9,23380.5,1808.1,17806.9,1712.8,32235.3,4826.3
INDUSTRIAS AGROPECUARIAS,130.5,23647.7,43.7,2593,0,1924.4,43.2,2047.1,0,2373.5,0,1390.2,0,1868.9,0,1296.3,43.2,1626.4,0,1652.7,0.4,1620.4,0,1453,0,3801.8
ARROZ,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",0,750.8,0,88,0,55.6,0,67,0,75,0,38.3,0,85.2,0,50.7,0,40.3,0,57.1,0,54.2,0,63,0,76.5
CAFE,0,15161.6,0,513.8,0,1006.4,0,1371.8,0,2085.3,0,1098.9,0,1416.5,0,1060.6,0,1313.3,0,751.8,0,1397.7,0,1078.1,0,2067.3
CARDAMOMO,0,148.7,0,0,0,0,0,20,0,32.7,0,0,0,0,0,20,0,0,0,76,0,0,0,0,0,0
CAUCHO NATURAL (HULE),130.1,0,43.7,0,0,0,43.2,0,0,0,0,0,0,0,0,0,43.2,0,0,0,0,0,0,0,0,0
FLORES Y FOLLAJES,0,261,0,3.5,0,33.7,0,26.9,0,23.5,0,30.8,0,8.1,0,21,0,18.3,0,13.4,0,15.5,0,28.8,0,37.7
"FRUTAS FRESCAS, SECAS O CONGELADAS",0.1,29.1,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0.1,0,0,0,0,14.6
LEGUMBRES Y HORTALIZAS,0,1106.3,0,138.3,0,82.3,0,78.3,0,19.6,0,0,0,58.7,0,82.2,0,33.7,0,117,0,75.6,0,225.9,0,194.7
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIMIENTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEMILLA DE AJONJOLI,0,5534.2,0,1849.4,0,746.4,0,483.1,0,137.4,0,207.7,0,300.4,0,61.7,0,28,0,174.3,0,77.4,0,57.2,0,1411.1
TABACO EN RAMA O SIN ELABORAR,0,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.9,0,463.1,0,0,0,0,0,0
INDUSTRIAS MANUFACTURERAS,261326.5,4202.7,28439.7,316,17719.3,285,26378.6,324.1,23820.8,322.5,20107.8,152.9,17599.4,352,18196.9,624.3,21296.2,247.7,15765.1,106.2,23366.1,187.7,16878.4,259.8,31758.1,1024.5
ABONOS Y FERTILIZANTES,3398.8,0,0,0,0,0,3398.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALIMENTOS PREPARADOS PARA ANIMALES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APARATOS ELECTROMECANICOS DE USO DOMESTICO,769.7,0.2,41.7,0.1,2.5,0,201.4,0.2,20.8,0,196.8,0,7.1,0,4,0,196.1,0,0.5,0,16.9,0,78.9,0,3.1,0
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,48.4,0.1,5.2,0,6.8,0,0.4,0.1,7.1,0,1.3,0,0,0,0.1,0,10.3,0,5.6,0,0.2,0,11.2,0,0.1,0
APARATOS TRANSMISORES Y RECEPTORES,250.2,0.4,50.4,0,39.7,0,43,0.4,4.2,0,0.9,0,1.1,0,5.8,0,5.1,0,77.8,0,3.3,0,13.5,0,5.3,0
ARTICULOS DE VESTUARIO,34.8,2046,0,280.2,0.8,285,2.6,164.5,2.4,318,0,149.8,0.1,95.1,20.3,84.6,2,79.1,0.7,46,0,161.4,5.4,133.1,0.5,249.2
AZUCAR,0,545.9,0,0,0,0,0,0,0,0,0,0,0,0,0,521.9,0,0,0,0,0,0,0,0,0,24
AZUCARES Y ARTICULOS DE CONFITERIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATERIAS ELECTRICAS,144.1,0,3,0,1.7,0,44.4,0,7.6,0,2.8,0,2,0,5.8,0,3.9,0,0.9,0,35.8,0,0,0,36.3,0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,0.1,553.7,0,0,0,0,0.1,137.9,0,0,0,0,0,202.9,0,0,0,0,0,0,0,0,0,122.7,0,90.2
CAFE SOLUBLE Y MOLIDO,0.1,122.7,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,121.7,0,0,0,0,0,0,0,0
CALZADO,5.5,0.5,0,0,0,0,0,0.1,0.2,0,0,0,0,0,5.2,0.4,0.1,0,0,0,0,0,0,0,0,0
CLAVOS Y TORNILLOS,182,0,9.2,0,7.6,0,10.6,0,30.4,0,18.4,0,11.5,0,22,0,28.3,0,11.8,0,14.8,0,7.1,0,10.1,0
DETERGENTES Y JABONES,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",54.8,0.1,0.5,0,0.4,0,0.3,0.1,0.6,0,0.4,0,46.3,0,0.6,0,1.7,0,0,0,0.7,0,3.1,0,0.1,0
GRASAS Y ACEITES COMESTIBLES,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
HARINAS DE CEREALES,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,42.9,0.3,3.1,0.3,7.5,0,0.7,0.1,15.2,0,0.8,0,0.5,0,9.9,0,1.1,0,0.6,0,1,0,1.6,0,1,0
HILOS E HILAZAS,148.9,0,0,0,52.7,0,6,0,0,0,0,0,0,0,5.4,0,4,0,48.7,0,0.2,0,0,0,31.9,0
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES",1187.5,615,168.8,0,159.9,0,36.9,0,217.1,0,128.7,0,221.2,0,118.9,0,0,0,53.7,0,0,0,82.3,0,0,615
