,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),168444.2,307046.1,13690.5,22285.5,15091.4,11831.1,18029.3,26518.9,24080.1,28475.4,19979.8,28065.8,18183.7,24284.9,15182.4,29396.6,16070.3,26636.2,10956.6,23503.9,3936.9,38950.9,5463.1,25341.9,7780.2,21755.1
INDUSTRIAS AGROPECUARIAS,154675,656.9,13221.1,49.5,13742.2,0.9,16838.7,71.5,23032.3,48.5,19011.8,162.6,17179.2,66.4,14200.2,115.1,14013.2,74.9,9963,0,3554.3,0,3902.6,67.5,6016.2,0
BANANO,7879.6,0,658.3,0,599.6,0,652.8,0,589.6,0,815.6,0,1055.2,0,852,0,714.7,0,669.6,0,443.3,0,352.3,0,476.8,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",991.5,8.6,39,0,150.8,0,59.3,0,45.1,0,90.7,0,78,0.3,85.8,0,147.2,8.3,80.3,0,85.8,0,73.7,0,55.9,0
CACAO,12.6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0
CAFE,127879.4,0,10698.5,0,11235.2,0,14802.6,0,21554.8,0,16527.4,0,14138.5,0,11440.9,0,11886.8,0,7958.4,0,1574,0,1997.2,0,4065.1,0
CARDAMOMO,1969.7,0,501.7,0,132.5,0,88.4,0,103.1,0,42,0,0,0,441.8,0,0,0,106.2,0,8,0,0,0,546,0
CAUCHO NATURAL (HULE),0,644.6,0,49.5,0,0,0,69.6,0,48.5,0,162.6,0,66.1,0,115.1,0,66.6,0,0,0,0,0,66.6,0,0
FLORES Y FOLLAJES,1652.9,0,142,0,142,0,94.7,0,68.4,0,138.2,0,63.1,0,126.2,0,168.3,0,210.3,0,126.2,0,231.4,0,142,0
FRIJOL,59.1,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,19.4,0,10.4,0,20.3,0
