,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL,"1,185,625.70","425,693.90","75,402.40","35,278.60","83,133.40","30,939.10","90,647.50","20,039.30","88,850.20","17,738.20","97,012.10","23,049.50","115,090.40","25,513.50","116,105.20","34,988.50","91,647.70","27,157.50","102,906.40","41,198.10","109,385.10","52,676.10","110,707.60","50,246.60","104,737.80","66,868.90"
INDUSTRIAS AGROPECUARIAS,"22,088.40","62,224.60",996.80,"4,518.00","1,679.10","3,570.70","1,768.20","4,230.10","1,398.60","4,377.80","1,117.70","4,875.80","8,953.50","4,370.80","1,318.20","4,818.20",733.70,"6,149.30",812.80,"5,323.10",918.50,"6,366.90",977.30,"6,908.40","1,413.90","6,715.60"
ANIMALES VIVOS DE GANADERIA,205.10,4,0,0,0.00,0,50.3,2.5,34.4,0,19.4,0,0,0,12.2,0,12.3,0,0,0,0,0,32.3,0,44.2,1.5
ANIMALES VIVOS DIVERSOS,56.50,13.1,3.4,0,6,0,4.3,0,2.4,0,3.50,5.7,0,0,4.9,0,3.4,6.5,7.3,1,8.5,0,8.1,0,4.6,0
ARROZ,43.70,0.00,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,43.1,0,0.1,0,0.2,0
BANANO,582.4,0.00,0,0,0,0,0,0,252.1,0,324.6,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",324.20,45.30,13.4,0,8.1,1.8,10.7,4.8,205.8,4.6,0,3.3,23.2,4.6,46.8,4.3,0,0,0,5.6,0,0,0,4.3,16.2,12
CAFE,0.00,452.10,0,210.00,0,0,0,0,0,0,0,0,0,111.40,0,119.80,0,11.00,0,0.00,0,0.00,0,0.00,0,0
CARDAMOMO,0.00,8.10,0,4.00,0,0.40,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,3.60,0,0.00,0,0.00
CAUCHO NATURAL (HULE),"4,731.10","52,698.10",578.40,"3,940.10",503.90,"2,938.70",355.60,"3,567.00",164.40,"3,546.70",345.7,"4,243.70",226.9,"3,987.50",330.8,"4,612.30",359.50,"5,666.70",416.5,"4,722.10",405.5,"5,047.50",389.10,"5,232.70",654.90,"5,193.30"
CEBOLLA,"1,667.30",0.00,100.9,0.00,111.5,0.00,14.4,0.00,3.4,0.00,61.3,0.00,249.3,0.00,238.9,0.00,162.8,0.00,145.9,0.00,96.8,0.00,221.9,0.00,260.10,0.00
