,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),"458,606.60","1,940,607.00","31,754.70","138,713.80","31,440.20","149,198.90","33,360.20","160,748.50","34,677.00","178,161.80","38,212.30","169,549.50","34,151.10","141,838.10","37,088.50","161,169.60","50,799.90","180,284.70","48,616.20","151,059.20","34,598.70","154,408.40","41,485.60","193,657.10","42,422.30","161,817.50"
INDUSTRIAS AGROPECUARIAS,"56,253.70","37,933.00","3,548.90","1,883.90","3,210.40","4,959.00","3,551.60","2,758.10","2,826.60","3,604.60","3,861.20","3,021.90","3,550.30","5,016.40","5,608.40","2,963.40","5,768.30","2,423.50","4,720.00","2,373.40","5,561.90","1,938.80","8,390.00","4,790.00","5,656.30","2,200.00"
ALGODON,19.50,419.7,0,35.6,0.00,34.3,0,0,0,71.8,0,36.7,0,0,0,36.9,0,43.8,0,39.9,0,39.4,19.5,39.8,0,41.5
ANIMALES VIVOS DE GANADERIA,0.00,147.9,0,0,0,21.2,0,0,0,27.9,0.00,0,0,0,0,0,0,8.3,0,30.6,0,0,0,16.3,0,43.7
ANIMALES VIVOS DIVERSOS,0.00,137.70,0,9.9,0,12.3,0,3.5,0,6.8,0,14.5,0,6.6,0,13.6,0,12.8,0,18.6,0,9.5,0,20.4,0,9.2
BANANO,0,11.60,0,2,0,0,0,2,0,5.8,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",57.50,546.20,0,0,0,0,4.2,19.4,0,136.6,0,102.2,18.1,0,18.1,0.3,0,65.9,17.1,61.3,0,6.8,0,102.4,0,51.2
CAFE,"1,447.50",0.00,55.7,0.00,181.3,0,431.8,0,228.9,0,63.9,0,201.6,0.00,151,0.00,98.1,0.00,0,0.00,35.2,0.00,0,0.00,0,0
CARDAMOMO,38.40,0.00,0,0.00,0,0.00,7.1,0.00,4.5,0.00,13.8,0.00,0,0.00,0,0.00,13,0.00,0,0.00,0,0.00,0,0.00,0,0.00
CAUCHO NATURAL (HULE),"50,864.50","3,519.00","3,092.90",388.50,"2,811.70",319.60,"2,885.50",404.30,"2,470.80",248.80,"3,633.60",327.70,"3,026.40",239.00,"5,204.80",263.50,"5,342.90",229.40,"4,531.30",149.60,"5,091.30",347.00,"7,624.80",167.80,"5,148.40",433.80
CEBOLLA,0.00,"3,038.30",0,168.50,0.00,141.50,0,107.30,0,191.40,0,402.90,0,284.90,0,423.20,0,307.40,0,259.30,0,251.10,0,196.60,0.00,304.20
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)",0.00,203.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.90,0.00,0.00
ESPECIAS,295.40,77.30,4.7,6.80,40.9,5.3,17.3,3.6,65.2,7.30,71.8,9.6,11.6,0,9.1,8.5,0.1,6.2,0,5.7,29.9,0.00,33.9,1.8,10.8,22.4
FLORES Y FOLLAJES,0.00,15.5,0.00,1.6,0.00,2,0,0,0.00,0,0.00,2,0.00,0,0.00,0,0.00,1.8,0.00,1.1,0.00,2.6,0.00,4.3,0.00,0
FRIJOL,136.80,12.80,22.1,0,0,0,0,0,0,0,22.1,0,70.5,0,0,0,0,0,0,12.8,22.1,0,0,0,0,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",438.10,"8,428.10",0,545.2,41.5,610.8,61.7,708.4,0,889.4,41.5,629.5,41.5,573.8,0,"1,287.10",41.5,747.2,41.5,696.6,13.3,577.3,114.3,785.2,41.5,377.6
LEGUMBRES Y HORTALIZAS,"2,281.20","1,770.20",304.2,236.8,104.5,131.2,125.1,110.8,25.5,127.1,0,263,93.1,189.5,124.9,132.4,155.9,109.1,100.4,100,278.8,108.2,513.4,135.7,455.6,126.30
MAIZ,0.00,"9,912.00",0,319.5,0,911.7,0,"1,190.70",0,"1,525.00",0,723.2,0,"3,338.60",0,269.7,0.00,27.3,0,805.7,0,64.7,0,136.30,0,599.60
MATERIAS VEGETALES,0.00,1.30,0,0,0.00,0,0,0,0.00,0,0.00,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,5.70,"1,330.60",0,58.7,0,89.1,0,105.00,0.00,222.30,0,198.3,0,158.8,0,197.1,5.70,145.9,0,31,0,64.5,0,46.8,0.00,13.00
PIMIENTA,202.70,522.70,8.7,0.4,29,10.5,15.20,1.5,31.4,8.3,13.4,12.9,12.1,85.1,31.7,81.4,8.5,63.8,2.5,3.2,16.7,65.2,33.5,119.2,0,71.2
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",16.80,754.80,0,92.6,1.5,26.8,3.7,53.2,0.1,78.7,1.1,47.5,2.2,43.3,4.6,120.9,1.9,53.5,0,43.6,1.6,118.7,0,66.3,0,9.5
PLATANO,0.00,890.4,0,17.8,0,26.6,0,48.5,0,57.2,0,92,0,95.8,0,70.8,0,142.1,0,114.5,0,61.2,0,77.8,0,86.1
SEMILLA DE AJONJOLI,449.60,749.30,60.6,0,0,0,0,0,0,0,0,0,73.1,0,64.1,57.2,100.8,458.9,27.2,0,73.1,222.5,50.6,0,0,10.6
