,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL,363863.7,184502.4,31108.4,14140.2,31302.1,13732.8,32023,13274.3,34422.4,15526.2,29505.1,15939.6,28216.2,14681.7,32009.1,16144,27337.7,15548.4,27362,14856.5,30137.3,16956.3,32243,16648.2,28197.3,17054.5
INDUSTRIAS AGROPECUARIAS,503.1,644.9,77.7,55.2,27.2,38.2,36.7,38.6,24.8,11.5,25.4,88.4,21.4,80.7,30.5,18.3,31.1,23.7,10.2,66.6,66.7,106.5,71,104.4,80.4,12.7
ANIMALES VIVOS DE GANADERIA,13.5,136.2,0,0,5,0,0,0,0,1.5,0,74.3,0,0,0,0,0,0,0,0,0,60.4,8.6,0,0,0
ARROZ,0,3.5,0,0,0,0,0,0,0,0,0,1.3,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0
BANANO,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",9.7,40.9,0,0,8.1,0,0.2,19.2,0.4,0,0.1,0,0.3,0,0.3,0,0.1,0,0.3,21.7,0,0,0,0,0,0
CARDAMOMO,0,0.8,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAUCHO NATURAL (HULE),32.5,7.9,0,0,14.1,0,0.1,2.8,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,18.2,0,0,0
CEBOLLA,0,10.3,0,0.2,0,0.1,0,6,0,0.2,0,0.2,0,0.2,0,2.4,0,0.2,0,0.2,0,0.3,0,0.1,0,0.3
ESPECIAS,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLORES Y FOLLAJES,8.2,29.5,0,14.2,0,7.1,0.9,2.8,0.9,3.2,0.9,1.4,0.7,0,0.9,0,0.8,0,0.8,0,0.1,0,1.3,0,0.7,0.9
FRIJOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",0,38.6,0,6.3,0,8.2,0,0.5,0,0.6,0,0.8,0,2,0,3.4,0,2.5,0,3.8,0,2.9,0,2.8,0,4.8
HUEVOS DE AVES,20.8,0,0,0,0,0,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEGUMBRES Y HORTALIZAS,19.6,69.9,0,7.9,0,4.4,0,6.4,0,6,0.6,5.4,7.3,5.2,10.1,7.2,1.3,6.3,0.4,6.1,0,4.6,0,3.7,0,6.6
MAIZ,3.4,161.9,0,0,0,0,0,0,0,0,1.1,0,1,68.9,1.2,3,0,0,0.2,0,0,0,0,90,0,0
MATERIAS VEGETALES,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,120,38.2,14.8,26.6,0,0,14.7,0,1.4,0,7,0,7.7,0,7.7,0,7.5,0,8.5,3.7,11.7,0,18.2,7.8,20.7,0
PAPA,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0
PIMIENTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",274.4,106.8,63,0,0,18.4,0,0,22,0,15.8,0,4.4,4.4,10.2,0,21.3,14.5,0,31.1,54,38.4,24.9,0,58.9,0
SEMILLA DE AJONJOLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDUSTRIAS MANUFACTURERAS,345246.7,172191.6,27638.7,13042.2,29304.9,13008.1,31543.2,12429.2,30426.2,14553.1,29071.6,14959.9,25247.2,13631.3,27529.5,15057.5,27123.7,14438.7,27346.8,13762,29987.3,15061,31947,15786.4,28080.6,16462.2
ABONOS Y FERTILIZANTES,299.6,897.8,20.8,92.8,87.3,30.4,33.3,35.4,0.2,27,53.7,42.3,25.9,199.8,0,123,21.8,64.5,15.4,110.2,20.5,27.8,19.9,82.5,0.8,62
ALIMENTOS PREPARADOS PARA ANIMALES,934.5,977.6,33.6,53.9,45.6,69.3,90.3,50.4,8,81.3,39.8,76.9,119.9,67.6,24.4,16,362.3,102.2,0,95.2,12.6,148.7,41.9,105.1,156,110.9
APARATOS ELECTROMECANICOS DE USO DOMESTICO,4375.1,747.9,411.2,181.3,650.2,24.8,412.3,48.2,211.8,91.6,388.1,17.3,245.9,73.4,382,38.5,318.3,42.6,203.9,125.1,481.3,46.8,438.5,31.4,231.7,26.9
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,8236.3,7851.2,409.2,2875.5,969.5,3.7,529.1,12.9,460.1,0.8,521.5,2,438.2,37.1,527.3,8,871.9,2.7,626.7,435.4,953.7,0.3,690.1,1920.4,1238.8,2552.5
APARATOS TRANSMISORES Y RECEPTORES,8000.9,180.2,496.1,1.7,716.7,0.9,347,38.2,525.2,0.2,656.7,35.2,586.2,41.7,861.5,28.8,671.1,2.9,615,8,720.8,14.1,1083,1.6,721.6,6.9
ARMAS Y MUNICIONES,5.5,0,0,0,0.4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTICULOS DE VESTUARIO,25790.3,1733.5,1628.8,130.7,1642.8,128.3,1687.5,97.7,1576.5,113.4,2107.1,140.2,1450,129.4,1529.7,119.7,1786.9,151.5,2191.4,161.1,4155.3,152,4344.9,224.7,1689.5,184.8
AVES DE CORRAL BENEFICIADAS,1985.1,0,499.6,0,204,0,188,0,246.4,0,367.4,0,183.3,0,296.3,0,0,0,0.2,0,0,0,0,0,0,0
AZUCARES Y ARTICULOS DE CONFITERIA,146,1249.6,0.2,65,64.8,118.5,0.2,105.6,0.3,70,0.3,143.3,6.6,85.5,4.7,182.8,10.1,146.2,17.3,52.4,0,167.2,26.4,32.2,15.1,80.9
BATERIAS ELECTRICAS,851.5,2284,67.3,113.6,39.8,134.8,215,228.5,79.4,149.5,14.6,153.3,31.5,232.6,52.4,298,62.6,85.3,108.1,358.8,145.3,221.9,11.1,208.9,24.4,98.6
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,1530.2,3604.4,368.3,86,91,191.7,198.2,94.8,143,65.6,44.8,407.6,25.2,88.8,74.2,204,38.4,250.9,184.3,542.1,121.7,888.9,215.9,364.5,25.2,419.5
CAFE SOLUBLE Y MOLIDO,0,64,0,0,0,9.3,0,0,0,0,0,0,0,7,0,19.8,0,5.1,0,0,0,22.8,0,0,0,0
CALZADO,24860.7,856.6,1506.3,55.7,1596.2,53.7,2138.8,104.7,2374.7,64.3,1972.8,68.1,2050.4,34,1904.2,94.3,2144.6,52.9,1841.3,96.4,2514.9,64.9,2983.8,25.1,1832.7,142.5
CARNE,340.3,0,91.5,0,0.3,0,68.5,0,29.8,0,107.2,0,0,0,34.2,0,8.8,0,0,0,0,0,0,0,0,0
CERAS,96,6347.3,1.6,340.4,2.8,429.1,12.6,415.3,2.1,549.5,6.1,469.9,0.9,523.2,2.5,551.6,41.6,582.2,11.3,575,7.3,670.8,5.8,695.5,1.5,544.9
CLAVOS Y TORNILLOS,333.7,18.8,89.8,1.3,92.8,16.9,16.8,0,18.4,0.1,10.7,0,17.4,0,16.9,0,24.7,0,4.7,0.5,30.9,0,4.8,0.1,5.8,0
DETERGENTES Y JABONES,355.9,12788,11.8,880.3,61.4,1150.1,5.1,1075.9,7,831.3,55.8,1298,4.3,1141.5,47.2,1119.8,54.7,1116.2,11.7,1175.3,28.1,893.3,33,1170.5,35.8,935.7
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",21.4,0,1.2,0,2.7,0,0.2,0,3.8,0,0,0,0.3,0,0.4,0,0,0,5.5,0,0,0,7.1,0,0.1,0
GLICERINA CRUDA,6.3,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRASAS Y ACEITES COMESTIBLES,738.8,8077.2,196,318.9,45.2,357.3,101.9,637,51.2,1132.4,129.5,1500.2,65.5,455.4,60.3,631.4,70.5,877.4,18.7,212.2,0,481.7,0,621.1,0,852.3
HARINAS DE CEREALES,17.3,23.4,0,23.4,0,0,0,0,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,1797.3,734.6,122.1,44.9,153.3,37.8,171,35.3,147.2,49.3,122.3,79.2,302.3,44.4,138.6,12.8,74.8,120.3,206.6,6.7,136.6,151.2,119.8,11.3,102.7,141.5
HILOS E HILAZAS,186.7,288.3,58.2,0,2.8,43.7,62.5,5,15.9,8.6,1.2,31.4,26.3,36,3.5,8.3,7.6,69.2,1,15.4,0.8,19.5,0.7,4.5,6.3,46.9
