,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),248751.5,565738.5,18829.8,36028.8,19825.8,47008.6,20731.7,56484.5,19464.9,50419.5,22581.8,44305.4,20801.7,49083.6,22154.7,42095.7,20888.4,43916.9,27482,44556.7,19737.4,58554.3,18150.7,53116.1,18102.6,40168.3
INDUSTRIAS AGROPECUARIAS,1135.2,470.5,89.2,156.2,54.9,31.6,99.3,111.6,81.1,2.5,44.1,51.1,74,1.1,160.5,14.5,74.4,9.7,64,35.5,194.4,6.3,100.9,50.1,98.4,0.3
ANIMALES VIVOS DE GANADERIA,0,43.5,0,9.1,0,6.1,0,0,0,0,0,0,0,0,0,6.3,0,9.6,0,6.2,0,6.2,0,0,0,0
ANIMALES VIVOS DIVERSOS,0,3,0,0.2,0,0.6,0,0.9,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.3
BANANO,0,4.8,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",268.6,46.4,1.5,12.9,1.5,0,25.5,0,6.7,0,1.1,16.7,17,0,36.9,0,0,0,10.1,16.9,129.2,0,9.8,0,29.3,0
CAFE,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAUCHO NATURAL (HULE),0.3,9.5,0,0,0,0.1,0,1,0,0,0,0.1,0,0,0,8.2,0,0,0,0,0,0,0.3,0,0,0
CEBOLLA,117.5,0,0.3,0,0.6,0,0.3,0,0.3,0,0.4,0,12.8,0,44.7,0,46.6,0,10.5,0,0.3,0,0.4,0,0.4,0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)",19.7,63.9,3.2,0,0.7,0,0.9,63.9,3.7,0,1.5,0,3,0,0.7,0,0,0,0.9,0,2.7,0,1.6,0,0.8,0
ESPECIAS,6.3,0,0.7,0,0,0,0,0,0.2,0,1.4,0,1.6,0,0.4,0,0.2,0,0.2,0,0.3,0,0.4,0,0.8,0
FLORES Y FOLLAJES,1.1,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRIJOL,125.9,0,8.6,0,8.8,0,10.7,0,10.3,0,10.4,0,13.8,0,11.1,0,10.2,0,9,0,10.2,0,11.1,0,11.7,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",91.5,0,17.6,0,17.5,0,11.8,0,28.8,0,8,0,1,0,0.6,0,3.3,0,0,0,0,0,0,0,2.9,0
LEGUMBRES Y HORTALIZAS,287.2,1.1,21.9,0,23.9,0,22.3,0,21.1,0,20.8,0,19.9,1.1,15.9,0,13.2,0,14.3,0,31.2,0,36.8,0,46,0
MAIZ,44.9,10.6,0,10.6,0,0,0,0,0,0,0,0,0,0,44.9,0,0,0,0,0,0,0,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,28.3,223.7,0,118.6,1.6,0,0,35,0,2.5,0,33.7,0,0,0,0,1,0.1,6.7,0,7.8,0,5.2,33.7,6,0
