,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL,580587.7,84154.7,47066.5,6904.7,41741.8,13447.5,50109.3,15438,43480.6,9364.1,54079.7,240.9,44116.3,8056,52716.5,4235.4,57942.2,6077.1,40283.3,6826.2,66736.6,4946.4,46193.1,2387.9,36121.7,6230.3
INDUSTRIAS AGROPECUARIAS,385.1,30.1,0.3,2.5,0,1.1,53.1,1.2,51,2.6,0,0.7,0,0.2,45.4,0,171.7,21.8,20.7,0,0,0,39.4,0,3.5,0
AJO,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,10.1,0,0,0,0,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",49.7,8.9,0,2.5,0,1.1,0,1.2,49.7,2.6,0,0.7,0,0.2,0,0,0,0.6,0,0,0,0,0,0,0,0
CAFE,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAUCHO NATURAL (HULE),0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPECIAS,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0.3,0
FRIJOL,211.3,0,0,0,0,0,51.8,0,0.1,0,0,0,0,0,0,0,159.5,0,0,0,0,0,0,0,0,0
LEGUMBRES Y HORTALIZAS,3.3,0,0,0,0,0,0,0,0.4,0,0,0,0,0,1.6,0,0.7,0,0,0,0,0,0,0,0.7,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,87.9,0,0,0,0,0,1.3,0,0.7,0,0,0,0,0,24.6,0,1.4,0,20.7,0,0,0,36.7,0,2.5,0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0
SEMILLA DE AJONJOLI,0,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,0,0,0,0,0,0,0,0
