,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),98704.2,291144.1,15459.5,23373.4,13052.7,24286.4,22277.1,28367.3,4465.6,20381.5,13716.1,18892.9,9066.5,19639.9,3833.7,20487,4674.5,44358.5,4200.5,22765.8,3123.7,26503.5,2315.3,21247.5,2519.2,20840.4
INDUSTRIAS AGROPECUARIAS,34890.3,3388.9,2619.5,350.3,2794.3,183.3,3243.2,321.3,2835.6,190.6,3886.4,178.7,4917.9,444.5,2945.7,584.5,3636.9,614.9,3414.7,155.9,2021.1,47.5,1517.3,304.2,1057.6,13.3
AJO,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2
ALGODON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANIMALES VIVOS DE GANADERIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANIMALES VIVOS DIVERSOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARROZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVES DE CORRAL VIVAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANANO,10526.6,0,550.9,0,732.1,0,1181.1,0,1017.4,0,1057.3,0,1076.2,0,997.9,0,1047.4,0,772.7,0,699.7,0,791.4,0,602.7,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",36.7,0.1,0,0,20.5,0,0,0.1,4.7,0,1.8,0,0,0,0.9,0,0,0,0.2,0.1,0.4,0,0,0,8.2,0
CACAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAFE,23501.1,0,2050.7,0,1992.5,0,1916.3,0,1701.5,0,2729.7,0,3704.5,0,1898,0,2563.9,0,2601.4,0,1278.5,0,639.4,0,424.5,0
CARDAMOMO,104,0,0,0,0,0,65.7,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,30.8,0,0,0
CAUCHO NATURAL (HULE),0,3231.2,0,347.9,0,182.8,0,315.4,0,189.2,0,177.8,0,444.5,0,584,0,587.6,0,141.8,0,0.7,0,258.7,0,1
CEBOLLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPECIAS,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0
