,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),128900.3,52197.3,7165.7,4527,6725.6,4791.2,10195.3,5465.6,12771,6696.7,12659.5,5445.9,9813.8,5737,11812.3,3146.4,9520.1,4085.4,9809.5,3043.4,11954.8,3392.6,15980.7,2322.8,10492.1,3543.2
INDUSTRIAS AGROPECUARIAS,1377.5,9145.1,91.7,838.6,94.5,1117.3,194.1,889.3,121.6,467.3,127,1046.9,97.2,2799,86.5,644.9,98.9,841.2,172.2,286.8,132.6,207.9,114.9,6,46.4,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",144.5,13.7,0,0,5.6,0,18.8,0.8,29.8,4.3,36.8,0.2,0,2.1,0,0.2,7.4,0,0,0,31.2,0,0,6,15,0
CAFE,0,7413.3,0,838.6,0,1117.3,0,683,0,463,0,1046.6,0,1284.1,0,644.7,0,841.2,0,286.8,0,207.9,0,0,0,0
CAUCHO NATURAL (HULE),1165.7,0,88,0,85.2,0,170.3,0,85.2,0,85.2,0,87.9,0,86.5,0,86.5,0,172.2,0,84.1,0,109.2,0,25.5,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",0,205.5,0,0,0,0,0,205.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,67.3,0,3.7,0,3.8,0,5,0,6.7,0,5,0,9.3,0,0,0,5,0,0,0,17.3,0,5.7,0,5.9,0
SEMILLA DE AJONJOLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TABACO EN RAMA O SIN ELABORAR,0,1512.7,0,0,0,0,0,0,0,0,0,0,0,1512.7,0,0,0,0,0,0,0,0,0,0,0,0
INDUSTRIAS MANUFACTURERAS,126038.8,42282.8,7074,3634,6626.1,3609.4,9946.2,4499.6,12580.8,6143.5,12526,4315.7,9613.8,2901.4,11712,2490.1,9354.3,3182.1,9578.5,2646,11495.4,3168.7,15396,2204.8,10135.8,3487.7
