,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),76522.5,120298.9,8538.6,10657.4,4065.1,8308.2,6159.1,13302.1,5055.4,6755.5,5210.6,9681.4,22248.3,10721.5,5255.3,10569,6096.2,9951,4816.1,8387.5,4190.4,13908.3,3488.4,7248.8,1399.1,10808.3
INDUSTRIAS AGROPECUARIAS,10978.1,1271.4,545,0,646.6,13,1407.3,18.2,950,0,1137.2,12.2,832.2,17.2,1110.2,1150,1927.6,6.5,1508.4,6.7,482.1,27.6,200.9,20.1,230.5,0.1
AJO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGODON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANIMALES VIVOS DE GANADERIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANIMALES VIVOS DIVERSOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARROZ,0,1131.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1131.8,0,0,0,0,0,0,0,0,0,0
AVES DE CORRAL VIVAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",61,119.8,4.3,0,7.1,9.2,9.8,18.2,0.1,0,3.6,12.2,6.3,12.2,4.5,18.2,0,0,5.4,6.7,1.9,27.5,6.9,15.8,11,0
CACAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAFE,9052.8,0,490.8,0,622.9,0,1397.5,0,949.9,0,1133.6,0,825.9,0,1097.5,0,654.1,0,1030.2,0,479.5,0,188.1,0,182.8,0
CARDAMOMO,16.9,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0
CAUCHO NATURAL (HULE),36.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,36.7,0
CEBOLLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPECIAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLORES Y FOLLAJES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRIJOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",496.1,0,15.2,0,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,472.7,0,0,0,0,0,0,0
HUEVOS DE AVES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEGUMBRES Y HORTALIZAS,34.7,0,34.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANZANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATERIAS VEGETALES,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
MIEL DE ABEJAS,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,5.6,19.6,0,0,5.6,3.8,0,0,0,0,0,0,0,5,0,0,0,6.5,0,0,0,0,0,4.3,0,0
PAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIMIENTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLATANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEMILLA DE ALGODON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEMILLA DE AJONJOLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TABACO EN RAMA O SIN ELABORAR,1273.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1273.5,0,0,0,0,0,0,0,0,0
TOMATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDUSTRIAS EXTRACTIVAS,2678,1001.2,94.2,58.1,52.7,1.1,168.8,118.7,186.1,222.5,140.7,140,410.6,138.3,379.1,41.4,264.3,84.5,176.4,22.7,230.9,58.4,269.6,4.7,304.8,110.9
ALUMINIO,812.5,265.2,56.1,39.5,22.5,0.8,70.1,41.1,64.1,0,42.9,64.4,119.2,3,117.8,6.4,87.5,1.1,46.2,13.5,68.9,27.6,47.3,4.7,69.9,63.1
ANTIMONIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASFALTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEMENTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
