	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	3269854.2	2215651.7	250938.5	167862.8	244966.6	175648.9	228453.4	167427.3	304097	180441.9	286245.1	182394	291298.3	160733.4	282984.4	181055.7	270014.8	218868.7	253025	223148.9	287926.9	209235.7	286113.9	183744.6	283790.4	165090
INDUSTRIAS AGROPECUARIAS	200567.2	527817.6	11345.6	40054.6	18765.5	37375.8	14220	42370.4	14047.7	37411.5	16252.1	41449.8	11582.6	44863.2	15879.5	50130.9	20621.7	43746.5	9420.6	51646.1	18129.8	51455	20338.7	46068.1	29963.5	41245.6
AJO	1.2	0.1	0.2	0	0.3	0	0.2	0	0.4	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0
ALGODON	17679.2	0	2084.2	0	1379.9	0	1856.5	0	1588.3	0	2045.9	0	852.9	0	1013.1	0	1481.8	0	1425.1	0	928.4	0	1639.2	0	1383.9	0
ANIMALES VIVOS DE GANADERIA	315.3	147.7	14.7	145.5	16.7	0	158.4	0	21.3	2.2	1	0	0	0	0	0	1.8	0	0.2	0	3.6	0	0	0	97.6	0
ANIMALES VIVOS DIVERSOS	113.5	27.9	10.1	6.4	3.7	0	9.3	7.2	11.9	0	10.7	0	9.8	7.6	6.5	0	9.4	0	9.4	0	17.7	6.6	6.7	0	8.3	0
ARROZ	10315.4	8.4	842.7	0	1265	0	551.5	1.1	1590.5	0	4924.8	1	506.8	1	114.6	0	13	1.5	128.9	0	155.9	3.2	89	0.5	132.8	0
AVES DE CORRAL VIVAS	3097.1	0	246	0	223.4	0	239	0	238.9	0	383.7	0	243.4	0	216	0	254.5	0	180.2	0	460.7	0	267.5	0	143.8	0
BANANO	0	215794.7	0	12368.7	0	15032.5	0	18664	0	14273.2	0	12590.3	0	17983.5	0	17709.5	0	17485.4	0	23323.6	0	23154	0	27781.8	0	15428.2
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	11730	21927.9	687.4	2592.9	787.7	3029.3	426.4	2055.6	644	1183.9	1035.6	967.6	404.6	1605.6	965	2720	1017.2	1672.7	572.4	1557.8	2282.1	1592.2	2356.4	1275.3	551.4	1674.9
CAFE	1.1	120039.8	0	8327.6	0.1	6425.2	0.2	8851.1	0.1	11933.3	0.3	11006.7	0.1	13928.3	0	13813.3	0	11134.7	0	10912.3	0.3	11653.6	0	4770.4	0	7283.3
CARDAMOMO	0	3262.2	0	415.3	0	587.5	0	36	0	265.9	0	57.8	0	112.8	0	361.7	0	199.5	0	8	0	665.3	0	378.1	0	174.4
CAUCHO NATURAL (HULE)	3553.5	608.2	338.1	173.4	262.9	0	285.6	37.2	344.6	62	429.1	86.8	241	25.7	367.9	74.4	251.4	37.2	325.7	0	175.8	74.4	357.2	0	174.2	37.2
CEBOLLA	83.3	755.3	0.4	37.9	0.6	80.5	2.3	66.3	2.3	52.1	0.5	94.7	0.1	33.1	3.5	42.6	6.2	81.6	0.2	105.6	19.3	63	41.6	50.1	6.4	47.9
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)"	328.3	3.8	4.8	0.1	10.8	0	0	1.3	29	0.3	34.2	0.2	5	0.5	103.9	0.1	25.5	0	89.9	0	12	0.6	13	0.5	0.2	0.1
