,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL,4114833.8,2781851.2,283200.5,225411.9,292417.7,192374.5,346743.6,210616,322691.5,180807.6,402657.5,224475.9,313830.6,232695.6,390507.5,273998.5,351410.7,239365.9,319240.8,289288.6,378975.8,262533.7,375165.5,234666,337992.1,215617.1
INDUSTRIAS AGROPECUARIAS,332842,658078.4,22884.5,57653.6,23202,47380.2,25346.6,47972.3,23470.9,53152.9,26862.7,65133.1,25255.7,60644.9,22308.2,65188.3,26954.7,54722.2,25050.5,66074.7,33388.2,41299.6,35695.4,52563.7,42422.7,46292.9
AJO,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGODON,37990.9,0,3031.2,0,2251,0,2380.5,0,2636.8,0,2932.9,0,3108.1,0,4281.5,0,7085,0,1708.7,0,3362.9,0,3188,0,2024.3,0
ANIMALES VIVOS DE GANADERIA,473.5,2,322.6,0,10.5,0,8.7,0,1.8,0,0,0,0,0,53.1,0,40.9,0,0,0,16.7,0,3.8,2,15.3,0
ANIMALES VIVOS DIVERSOS,169,2.7,18.7,0,14.1,0,9.8,0,18.3,0,11.9,0,13.5,0,12.1,0,16.9,2.7,14.5,0,14.1,0,14,0,11,0
ARROZ,26894,34.5,1543.9,0,2208.7,0,2098.1,1.8,1576.1,3.6,252.9,13.9,1981.4,0,2309,0,1588.6,0.8,3035.6,2,2410.2,0,4879.5,0.8,3009.9,11.5
AVES DE CORRAL VIVAS,3875.5,0,249.9,0,446.9,0,312.5,0,281.5,0,317,0,480.3,0,236.6,0,188.6,0,380.2,0,390,0,310.2,0,281.8,0
BANANO,14.2,201129.4,0,13736.6,0,14090.7,14.2,9856.3,0,13894.8,0,15589.3,0,17718.5,0,20214.9,0,16640.9,0,25279.2,0,10889.7,0,28931.6,0,14287
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",15571.8,26877.7,450.3,3009.3,886.4,2884.7,1408.2,2117.8,3301,1825.6,459.6,1822.4,862.3,1220.5,1109.1,4422.9,1288.6,2521.8,3614.1,2519.3,748.2,1440.6,850.6,1402.9,593.4,1689.8
