	Tot		Jan		Feb		Mar		Ap		May		Jun		July		Aug		Sep		Oct		Nov		Dec	
			0		1		2		3		4		5		6		7		8		9		10		11	
	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	27392.5	11926.3	2116.5	628.3	1480.5	905.9	2598.6	1013	1823.6	1181.5	2863	1074	1879	1126.3	3613.8	1158.1	2733.6	546.3	2638	1709.3	2504.4	597.7	1102.3	1438.7	2039.2	27
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	0	2	0	0.2	0	1.2	0	0	0	0.2	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
CAFE	0	10442.4	0	466.8	0	818	0	886.6	0	1139	0	1047.5	0	1092.4	0	969.7	0	506.8	0	1040.7	0	521.9	0	1437.1	0	515.9
CARDAMOMO	0	160.5	0	63.5	0	38.3	0	19	0	0	0	0	0	0	0	39.8	0	0	0	0	0	0	0	0	0	0
CAUCHO NATURAL (HULE)	3.1	0	0	0	0	0	0	0	0	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLORES Y FOLLAJES	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
"FRUTAS FRESCAS, SECAS O CONGELADAS"	0	29.3	0	0	0	1.7	0	0.6	0	2.5	0	0	0	0	0	24.5	0	0	0	0	0	0	0	0	0	0
LEGUMBRES Y HORTALIZAS	0	90.9	0	0	0	1.6	0	37.5	0	0	0	23.2	0	3	0	0.8	0	23.7	0	0	0	0	0	1	0	0
MIEL DE ABEJAS	0	67.3	0	0	0	0	0	33.7	0	0	0	0	0	0	0	33.7	0	0	0	0	0	0	0	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7	0	0	0	0	0	0	0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA"	22.5	0.2	11.8	0	0	0	0	0	10.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0
TABACO EN RAMA O SIN ELABORAR	0	607.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	607.6	0	0	0	0	0	0
INDUSTRIAS MANUFACTURERAS	24546.7	525.8	1701.5	97.7	1295.4	45.2	2232.3	35.6	1462.8	39.8	2284.5	3.3	1825	30.8	3565.1	89.3	2692.1	15.7	2350.4	60.9	2503	75.8	1084.6	0.4	1550.1	31.4
ABONOS Y FERTILIZANTES	125.4	0	0	0	64.2	0	22.9	0	0	0	0	0	0	0	6.7	0	13.2	0	18.5	0	0	0	0	0	0	0
APARATOS ELECTROMECANICOS DE USO DOMESTICO	16.8	0.8	0	0	0	0	0.1	0	0	0	0.2	0	0	0	3.3	0.4	1.9	0	0	0.2	0	0	0	0	11.2	0.1
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	1	0	0	0	0	0	0	0	0	0
APARATOS TRANSMISORES Y RECEPTORES	10.5	0.7	0	0	0	0	0	0	0	0	9.8	0	0	0	0.2	0.1	0	0.3	0	0	0.4	0	0	0	0	0.4
ARTICULOS DE VESTUARIO	16.4	20.7	0	0	0	13.2	0.3	0.4	0	0	6.5	0	0	4.1	8.8	1.7	0	0.6	0.1	0	0.7	0	0	0	0	0.7
AZUCARES Y ARTICULOS DE CONFITERIA	25.5	0	0	0	0	0	0	0	0	0	6.8	0	0	0	0	0	0.1	0	0	0	0.1	0	7.3	0	11.2	0
BATERIAS ELECTRICAS	4.8	0	0	0	1.3	0	0	0	0	0	0	0	0	0	2	0	1.5	0	0	0	0	0	0	0	0	0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	54.8	0	0	0	0	0	0	0	0	0	3.1	0	0	0	0	0	25.8	0	0	0	25.9	0	0	0	0	0
CALZADO	9.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.2	0	0	0	0	0
CERAS	35.9	0	2.8	0	0	0	2.8	0	9.2	0	0	0	0	0	5.8	0	0.2	0	14.9	0	0	0	0	0	0	0
CLAVOS Y TORNILLOS	21.5	0	0	0	0	0	11.2	0	0	0	0	0	0	0	0	0	0.6	0	2.6	0	5.3	0	0.1	0	1.6	0
