	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	106097.5	40319.4	8058	2813.1	7529.5	5902.1	7608.4	3624.4	12374.8	5710.6	9131.3	3911.6	7204.6	4359.3	14983.6	3193.4	8624.9	3102	10562.6	2497	7930.5	1159	5705.7	2450.9	6383.6	1596.1
INDUSTRIAS AGROPECUARIAS	414.5	36544.7	20.5	2738.7	14.6	5483	4.3	3515.4	70.3	5576	3	3911.6	17	4011.5	45.5	2876.7	7.1	2819.5	58.2	2191.1	8.9	338.8	122.8	1752	42.4	1330.2
BANANO	0	27.7	0	0	0	0	0	0	0	19.6	0	8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	110.6	10.5	2.8	0	0	2.8	3	0	70.3	0	3	0	0	0	0	7.7	3	0	28.5	0	0	0	0	0	0	0
CAFE	0	31106.2	0	2375.3	0	4946.1	0	2964.5	0	5117.3	0	3601.7	0	3847.4	0	2517.6	0	1334.4	0	2028	0	157.2	0	1433	0	783.9
CARDAMOMO	0	235.1	0	3.4	0	0	0	178.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53
CAUCHO NATURAL (HULE)	116.8	0	0	0	0	0	1.3	0	0	0	0	0	14.2	0	0	0	0	0	0	0	0	0	101.3	0	0	0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)"	0	0.6	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLORES Y FOLLAJES	0	2300.2	0	295.5	0	314.6	0	287.3	0	297.6	0	137.5	0	79.9	0	176.5	0	70.8	0	121.8	0	133.2	0	300.7	0	84.7
"FRUTAS FRESCAS, SECAS O CONGELADAS"	0	600.2	0	31.4	0	114.5	0	73.7	0	76	0	30	0	0	0	48.5	0	52.9	0	0	0	0	0	0	0	173.2
LEGUMBRES Y HORTALIZAS	14.6	384.3	0	33	14.6	64.5	0	10.5	0	25	0	2	0	43.7	0	0	0	0	0	0	0	0	0	18.4	0	187.1
MIEL DE ABEJAS	0	137.2	0	0	0	0	0	0	0	0	0	91.8	0	0	0	45.4	0	0	0	0	0	0	0	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	85.4	0	5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.7	0	0	0	7.8	0	42.4	0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA"	87.1	0	12.2	0	0	0	0	0	0	0	0	0	2.8	0	45.5	0	4	0	0	0	8.9	0	13.6	0	0	0
SEMILLA DE AJONJOLI	0	420.9	0	0	0	40.5	0	0	0	40.5	0	40.5	0	40.5	0	81	0	40.5	0	40.5	0	48.5	0	0	0	48.4
TABACO EN RAMA O SIN ELABORAR	0	1321.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1320.9	0	0.8	0	0	0	0	0	0
INDUSTRIAS EXTRACTIVAS	7448.7	0	282.7	0	458.1	0	614.2	0	2660.7	0	310.7	0	378.1	0	771.6	0	457.3	0	625.1	0	123	0	372.3	0	394.9	0
ALUMINIO	95.7	0	18.3	0	0	0	2.3	0	2.1	0	5.3	0	0	0	0.5	0	51	0	3.1	0	4.9	0	0	0	8.2	0
COBRE Y SUS MANUFACTURAS	217.4	0	31	0	0	0	31.1	0	0	0	0	0	31.5	0	45.6	0	7.3	0	0	0	4.7	0	66.1	0	0	0
GASES INDUSTRIALES	75.1	0	0	0	0	0	0	0	16.2	0	18.9	0	0	0	0	0	20	0	20	0	0	0	0	0	0	0
HIERRO Y ACERO	5047.4	0	149.6	0	0	0	482.3	0	2512.4	0	73.5	0	181.5	0	420.5	0	265.8	0	468.1	0	26.6	0	174.2	0	293.1	0
MAGNESIO	0.1	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTROS DERIVADOS DE PETROLEO	1166.6	0	12.1	0	182.8	0	92.8	0	130	0	82.9	0	159.6	0	71.5	0	113.1	0	133.9	0	43.8	0	50.3	0	93.7	0
