	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA)	94859.4	232416.7	4315.9	25849.1	13542.8	15176.1	6025.6	16247.1	8139.9	19722.9	6600.7	29430.8	4869.9	18821.9	10224	15833.3	9642.3	19239	6220.5	12815	8491.8	13631.4	7554.6	26625.2	9231.3	19025
INDUSTRIAS AGROPECUARIAS	7479.1	91588	285.8	12448.9	3680.6	8970	578.5	8771.8	698.4	5184.1	670	8361.7	284.9	8124.3	132.5	9098.1	140.1	13027.3	57	5216.7	191.8	2320.8	333.4	1779.6	426.2	8284.7
ANIMALES VIVOS DE GANADERIA	6.5	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0	0	0	0	0	0	0	0	0	0	0
ANIMALES VIVOS DIVERSOS	0.8	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	686.5	611.6	0	201.8	0	176.9	63.3	82.1	72.3	10.7	124.5	6.9	128.5	5.5	26.4	13.7	108	6.8	22.6	12	110.6	9.4	15.9	27.4	14.4	58.3
CAFE	0	82732	0	11826.3	0	8488.2	0	7917.3	0	4695.3	0	7647.2	0	7274.6	0	7911	0	12156.5	0	4618.3	0	1351.3	0	1073.4	0	7772.6
CARDAMOMO	0	597.5	0	0	0	0	0	104.5	0	0	0	0	0	0	0	98	0	0	0	0	0	204.9	0	48.2	0	141.8
CAUCHO NATURAL (HULE)	0	2259.5	0	173.6	0	223.1	0	276.5	0	164.1	0	183.3	0	158.1	0	248.8	0	314.3	0	76.3	0	330.3	0	111.3	0	0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)"	645.2	0	31.7	0	0	0	103.9	0	0	0	87.3	0	156.4	0	45.8	0	32.2	0	28.4	0	46.5	0	61.5	0	51.6	0
FLORES Y FOLLAJES	0	22.3	0	9	0	0.7	0	1.3	0	1.1	0	0.5	0	0.9	0	0.7	0	0.8	0	0.4	0	3.1	0	1.5	0	2.3
FRIJOL	0	209.4	0	15.8	0	13	0	14.9	0	17	0	23.3	0	22.3	0	16.8	0	14.2	0	17.5	0	23.9	0	12	0	18.9
"FRUTAS FRESCAS, SECAS O CONGELADAS"	0.1	3574.1	0.1	161.9	0	34.8	0	254.3	0	268.3	0	440.7	0	522.8	0	238.9	0	357.2	0	270.5	0	315.5	0	458	0	251.1
LEGUMBRES Y HORTALIZAS	248.2	364	0	27.7	0	22.5	50.9	20.4	47	27.6	54	35.1	0	37.1	49.4	29.8	0	39.1	0	32.1	25.3	30.3	0	23.1	21.7	39.3
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	40.2	18.9	5.3	8.1	4.8	10.8	0	0	0	0	12.8	0	0	0	3.9	0	0	0	0	0	9.4	0	0	0	4.1	0
PAPA	2355.8	0	248.4	0	250.9	0	330.9	0	579.1	0	391.5	0	0	0	0	0	0	0	0	0	0	0	220.4	0	334.5	0
PIMIENTA	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	0	0.5
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA"	71	1	0	0	0	0	29.4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	35.6	0	0	0
SEMILLA DE AJONJOLI	0	869.3	0	24.7	0	0	0	100.5	0	0	0	24.7	0	103	0	214.3	0	138.4	0	189.6	0	49.4	0	24.7	0	0
