	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	371967.1	227843.7	26598.5	16039.1	30885.7	17958.5	32556.2	19300.1	23217.4	15522.3	32759.3	21533.3	32556	18886.5	32191.4	18019.7	32045.2	20337.3	29808.5	19688.4	33793.6	19990.3	34539	21543	31016.3	19025.4
INDUSTRIAS AGROPECUARIAS	2826.5	13623.6	56.1	802.3	186.8	1404.8	218.9	1110.6	188.5	1180.9	362.8	1163.4	210.9	869.4	108.3	1339.9	288.4	1130	541.9	944.4	376.3	1246.3	147.8	1352.9	139.8	1078.6
AJO	0	5	0	0	0	0	0	2.5	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0
ALGODON	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0
ANIMALES VIVOS DE GANADERIA	221.1	14	0	0	0	5	0	0.2	9.8	2.8	17.6	0	12.6	0	4.5	0	55.1	0	113.4	2	0	0	0	4	8	0
ANIMALES VIVOS DIVERSOS	26.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.4	0
ARROZ	18.4	0	0	0	0	0	0	0	0	0	7.2	0	0	0	0	0	0	0	11.1	0	0	0	0	0	0	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	794.6	170.9	16.6	0	35.6	19.5	14.2	14.3	19.3	46.1	38.7	0.6	99.9	18.1	40.6	5	74.6	7.3	184	25	198.6	3	22.5	6	49.8	26
CAFE	12.3	0	0	0	0	0	2.3	0	0.7	0	9.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARDAMOMO	0	2.6	0	0	0	0	0	0	0	0.6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CAUCHO NATURAL (HULE)	2.3	12171.7	0	675.9	0	1267.5	0	984.8	0	1010.5	0	970.6	1.6	738.9	0	1221.4	0	1005.1	0	786.2	0	1228.2	0	1294.1	0.8	988.3
CEBOLLA	6.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6	0	0	0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)"	0	3.4	0	0	0	3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESPECIAS	172.7	100.1	0	20.3	8.5	2.1	11	1.8	24.4	20.1	21	21.8	17	6.8	10.8	17	14.7	0.4	28.9	3	15.4	1.5	20.1	5.2	1	0
FLORES Y FOLLAJES	45.8	26	8.5	8.9	1.7	17.1	2.8	0	7.2	0	2	0	4.2	0	5.2	0	1.8	0	1.2	0	1.5	0	1.3	0	8.3	0
FRIJOL	0	27.4	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	9.4	0	0	0	0	0	0
"FRUTAS FRESCAS, SECAS O CONGELADAS"	199.8	584	1.4	51.1	0	58.7	40.9	88.6	0.9	100.4	1.9	103.6	18.3	57.3	6.2	51.3	53.5	27.8	39.8	0	35.9	0	1	0	0	45.2
HUEVOS DE AVES	114.5	0	15.2	0	30.5	0	30.6	0	22.9	0	0	0	15.2	0	0	0	0	0	0	0	0	0	0	0	0	0
LEGUMBRES Y HORTALIZAS	505.9	52.1	0	1.9	47.9	0.9	0	0.8	28.7	0	124.2	0.5	0	2.2	0	1.9	25.4	5	138.7	33.6	79.8	2.6	50.2	0	11	2.8
MAIZ	0	160.6	0	41.2	0	12	0	1.4	0	0	0	40.7	0	0	0	0	0	20.4	0	44.6	0	0	0	0	0	0.3
MATERIAS VEGETALES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIEL DE ABEJAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	588.4	0.2	10.2	0	57.6	0	102.2	0	60.8	0.2	125.4	0	28.4	0	33.6	0	52.3	0	18.1	0	34	0	37.3	0	28.5	0
PAPA	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0
