	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA)	425713	595532.1	31686.4	43467.2	31571.5	52900.6	35219	47628.3	33490	48143.5	35695.2	53322.5	38303.2	50974.1	38281.9	46127.4	32798.1	50838.4	34287.3	50450.1	34161	49779.3	40105	48884.9	40114.4	53015.7
INDUSTRIAS AGROPECUARIAS	13312.1	7274.6	919	424	957.9	514.6	831.2	254.8	1198.5	620	1103.7	1010.3	1223.9	858.5	1008.5	804.8	1518.3	671	1050.1	469.4	823.8	475.5	1148.1	646.2	1529.2	525.7
AJO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANIMALES VIVOS DE GANADERIA	5.6	190.2	2.5	0	0	5.6	0	0	0	0	0	18.1	0.6	91.1	0	9	0	30.7	0	8	0	17.2	0	0	2.5	10.4
ANIMALES VIVOS DIVERSOS	0.6	11.8	0	3.9	0	0	0.2	0.7	0	0.4	0	0	0	0	0	0.7	0.3	0	0.2	1.4	0	0	0	0.6	0	4
ARROZ	34.7	1252.3	0	4.6	0	0	0	0	0	123.4	0	318.2	0	212.9	0	198	0	142.2	0	136	34.7	65.4	0	0	0	51.6
BANANO	0	37.3	0	0	0	31.4	0	2.1	0	2.2	0	0.6	0	0	0	0	0	0	0	1.1	0	0	0	0	0	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	367.9	679.3	0	3.4	0	19.7	1.8	53.5	23.9	123.3	0	49.2	2.1	56.2	68.2	177.6	30.5	169.1	2.7	1.3	73	0	95.1	0.2	70.6	25.9
CAFE	1872.8	0	66.6	0	232.8	0	175.1	0	395.9	0	419.3	0	176.3	0	103.9	0	302.2	0	0.8	0	0	0	0	0	0	0
CARDAMOMO	10.3	0	2.8	0	0	0	0	0	0	0	2.5	0	0	0	1.8	0	1.7	0	0	0	0	0	0	0	1.5	0
CAUCHO NATURAL (HULE)	7749.1	176.8	683.5	0	549.5	0	407.6	28.8	506.9	2.7	476	28.7	757.1	0	494.8	28.7	802	14.1	539.5	28.7	581.3	15.1	794.5	29.3	1156.3	0.9
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)"	3.7	0	0	0	0.5	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0
