	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	208231.2	73829.1	15701	4679	12763.2	5175.5	14606.1	9162.5	17547.4	7068	19875.6	11549.7	21657.5	11614.6	16723.9	5851.8	16504	4055	19048.7	4200.1	13461.5	4113.9	22939.7	2635.8	17402.7	3723.4
INDUSTRIAS AGROPECUARIAS	867.7	70130.3	70.9	4285.7	44.9	5074	77.7	8987.2	10.7	6918.1	108	11328	33.8	11333.4	71.5	5607.9	32.9	3530	34.9	3732.1	145.2	3926.7	139.2	2442.5	98	2964.7
ANIMALES VIVOS DE GANADERIA	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	5	0	0	0	0	0	0	0
AVES DE CORRAL VIVAS	50.5	0	16.5	0	0	0	11.6	0	0	0	0	0	0	0	0	0	0	0	17.1	0	5.3	0	0	0	0	0
BANANO	0	1104.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	526.7	0	577.5
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	111.2	302.8	4.9	63.1	6.1	28.5	23.9	43.2	7.5	18.3	57.3	18.3	2.1	19.7	3.6	15.5	0	35.1	2.3	27.1	3.3	13.6	0.1	8.3	0	12.2
CAFE	0.1	56314.3	0	3938.1	0	4736.8	0	8411.6	0	6305.9	0.1	10882.4	0	8342.1	0.1	5251.4	0	2114.8	0	3012.6	0	864.9	0	514.3	0	1939.6
CARDAMOMO	0	415.5	0	52.3	0	11	0	6.5	0	0	0	106.1	0	0.9	0	9.3	0	7	0	0	0	128.8	0	37.3	0	56.4
CAUCHO NATURAL (HULE)	163.7	130.9	0	0	0.4	0	0	0	0	0	24.3	0	10.8	0	0	0	0	0	0.1	130.9	86	0	0	0	42	0
ESPECIAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLORES Y FOLLAJES	0	1648.6	0	49.1	0	72.4	0	232.9	0	249.8	0	141.1	0	83.9	0	114.5	0	135.7	0	119.8	0	111.7	0	221	0	116.7
"FRUTAS FRESCAS, SECAS O CONGELADAS"	0	432.5	0	0	0	0	0	0.3	0	33.7	0	25.3	0	28.6	0	19.6	0	16.3	0	123.3	0	103.1	0	82.3	0	0
LEGUMBRES Y HORTALIZAS	0	299.4	0	31	0	25.5	0	37.1	0	19.7	0	4.5	0	0	0	1.3	0	40.7	0	20.3	0	20.3	0	47.6	0	51.4
MIEL DE ABEJAS	0	306.7	0	0	0	0	0	39	0	0	0	79.6	0	0	0	148.3	0	39.8	0	0	0	0	0	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	220.6	0	2.2	0	0	0	5.7	0	1.5	0	1.9	0	0	0	8.3	0	9.7	0	0	0	24.7	0	111.8	0	54.9	0
PIMIENTA	0	404.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289.5	0	101.9	0	13.1	0	0	0	0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA"	302.7	281.8	47.3	61.5	38.3	67.7	36.5	74.3	1.8	0	24.5	70.7	20.9	7.6	59.5	0	9.2	0	10.4	0	25.9	0	27.2	0	1.1	0
SEMILLA DE AJONJOLI	0	1189.6	0	90.6	0	132.3	0	123.4	0	290.8	0	0	0	40	0	48	0	54.8	0	122.6	0	97.7	0	122.7	0	66.9
TABACO EN RAMA O SIN ELABORAR	0	7299.5	0	0	0	0	0	19	0	0	0	0	0	2810.7	0	0	0	796.3	0	73.5	0	2573.5	0	882.5	0	144
INDUSTRIAS MANUFACTURERAS	194154.9	3667	15070.4	393.3	12325.3	93.3	13961.1	175.3	17195.2	149.9	19071.3	218.9	15081.8	281	15932.8	243.9	15944.8	521.9	16974.5	453.2	12865.4	187.2	22620.3	190.7	17112.1	758.6
ABONOS Y FERTILIZANTES	4599.8	0	171	0	143.2	0	156.4	0	418.8	0	98.8	0	30.4	0	3299.5	0	191.6	0	68.6	0	0	0	17.1	0	4.5	0
ALIMENTOS PREPARADOS PARA ANIMALES	70.4	0	0	0	0	0	0	0	27.3	0	0	0	0	0	10.5	0	0	0	0	0	0	0	22.5	0	10.2	0
APARATOS ELECTROMECANICOS DE USO DOMESTICO	1704.8	4.3	98.3	0	262	0.4	73.8	0	128.4	0	99.7	0.2	141	0.4	119.2	0.2	133.5	0.8	491.4	2	77.7	0	55.1	0	24.7	0.3
