	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA)	139145.5	298479.6	12043.5	30735.3	13615.9	22326.8	16499.3	26315.4	7588.4	20423.5	12128.7	20619.6	9613.1	17328.5	8287.8	30380.5	13147.6	24486	24423.4	23306.7	11714.2	23735.6	6776.8	28340.9	3306.9	30480.7
INDUSTRIAS AGROPECUARIAS	66497.9	2870.3	3030.7	299	5783.6	152	8244.7	222	6196	18.3	6092.4	266.6	5826	266.4	4046.8	362.1	6357.4	309.3	8717	153.1	7814.1	416.2	2041.1	122.8	2348.4	282.6
AVES DE CORRAL VIVAS	0	71.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.1	0	0	0	0
BANANO	2873	0	504.7	0	320.5	0	292.3	0	947.1	0	191.5	0	0	0	95.2	0	39	0	111.8	0	0	0	0	0	370.9	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	2819.6	159.1	66.2	0	278.6	6.3	57.5	0.1	483.3	0	289.3	15.3	497.9	3	5.8	21.6	18.9	83.5	247.1	8.4	17.1	17.9	228.5	0.1	629.4	3
CACAO	25.4	0	0	0	0	0	0	0	0	0	0	0	25.4	0	0	0	0	0	0	0	0	0	0	0	0	0
CAFE	43921.8	0	1950.5	0	3896.8	0	7129.4	0	3613	0	5176.7	0	4238.2	0	2566.4	0	2754.9	0	5399.2	0	5742.4	0	599.8	0	854.8	0
CARDAMOMO	3382.3	0	91.6	0	253.7	0	85.6	0	118.9	0	254	0	320.4	0	351.4	0	534.3	0	185.5	0	0	0	806.7	0	380.2	0
CAUCHO NATURAL (HULE)	1172.1	214.9	0	32.5	588.5	9.2	65.8	0	493	3.2	0	9.6	0	50.5	0	24	0	18.8	0	0	24.8	34.3	0	0	0	32.9
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)"	0	6.2	0	0	0	0	0	0	0	0	0	2.8	0	0	0	1.8	0	0	0	0	0	0	0	1.6	0	0
ESPECIAS	0	147.4	0	7.2	0	0	0	0	0	0	0	25	0	0	0	65	0	2.9	0	2.8	0	31.9	0	10.6	0	2
FLORES Y FOLLAJES	19.6	0	0.8	0	2.3	0	2.6	0	2.1	0	1.6	0	0.8	0	1.7	0	2.6	0	1.2	0	1.7	0	1.6	0	0.8	0
"FRUTAS FRESCAS, SECAS O CONGELADAS"	764	80.1	79.8	0	51.3	0	111	0	67.3	0	28.8	19.3	72	0	28.8	0	145.2	0	64.6	49.1	57.6	3.4	43.2	8.3	14.4	0
HUEVOS DE AVES	0	576.7	0	16.6	0	0	0	82.5	0	0	0	0	0	0	0	69.4	0	180.6	0	0	0	180.9	0	0	0	46.7
