	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA)	118960.7	108607.6	12432.9	9419	6157.2	11161.9	7227.8	10731.4	9132.8	11321.6	11781	7056.4	9449.4	6644.5	11517.9	7414.2	11381.5	13079	7920	7360.7	8079.1	4017.7	11474.4	16014.5	12406.5	4386.7
INDUSTRIAS AGROPECUARIAS	996.8	43941.6	64.7	2203.8	36.4	4461.7	187.9	3235.4	42.1	6451.7	112.6	4709	60.7	4363	50	4424.4	123.2	6546.7	61.7	4656	104.7	1230.8	88.4	191.7	64.2	1467.6
ANIMALES VIVOS DIVERSOS	0.8	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0
ARROZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BANANO	0	14128.2	0	0	0	0	0	291.6	0	1405.4	0	765.2	0	676.2	0	1102.7	0	4815.9	0	3855.4	0	498.4	0	0	0	717.5
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	17.9	346.7	0	16.1	0	24.3	6.7	38.1	6.8	23.5	0	52.6	0	14.5	4.3	57	0	6.6	0	9.2	0	19.6	0	41.2	0.1	44
CAFE	0	28947.4	0	2160.1	0	4390.5	0	2819.6	0	5008	0	3808.7	0	3604.9	0	3264.7	0	1642.6	0	736.8	0	701.5	0	115.5	0	694.4
CARDAMOMO	0	17.3	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	0
CAUCHO NATURAL (HULE)	618.1	165.3	61.5	0	0	28.7	28.9	59	0	0	55.8	0	56.2	0	30.5	0	121.9	0	61.4	52.1	88.2	0	85.2	25.5	28.6	0
"FRUTAS FRESCAS, SECAS O CONGELADAS"	167.9	75.2	0	2.5	36.3	14.6	35.1	25.4	35	14.7	33.9	0	0	0	0	0	0	0	0	0	0	9.4	0	4.7	27.6	3.9
MIEL DE ABEJAS	0	230.5	0	0	0	0	0	0	0	0	0	81.6	0	67.3	0	0	0	81.6	0	0	0	0	0	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	0.2	31	0	10.1	0	3.5	0	1.6	0.2	0.1	0	1	0	0	0	0	0	0	0	0.3	0	1.9	0	4.8	0	7.8
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA"	191.8	0	3.1	0	0.1	0	117.2	0	0.3	0	22.9	0	3.7	0	15.3	0	1.4	0	0.3	0	16.5	0	3.2	0	7.9	0
INDUSTRIAS MANUFACTURERAS	116514.7	12930.8	12213.7	557.5	5973.5	671.8	6873.5	1229.9	9042.4	543.1	11592.3	1030.1	9330	967.2	11203.1	1122.6	11073.7	1685.1	7797.1	1704.6	7818.6	1292.8	11297.1	975.9	12299.8	1150
ABONOS Y FERTILIZANTES	760.1	0	86.1	0	86.4	0	116.4	0	69.2	0	38.8	0	0	0	0	0	295.5	0	0.8	0	7.1	0	15.2	0	44.5	0
ALIMENTOS PREPARADOS PARA ANIMALES	41.3	0	0	0	0	0	0	0	41.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APARATOS ELECTROMECANICOS DE USO DOMESTICO	914.6	0.7	110.3	0	42.2	0	63.5	0.7	41.9	0	92.8	0	114.5	0	36.2	0	103.5	0	129	0	97.2	0	34.2	0	49.4	0
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	89.8	0	14.1	0	8.5	0	0.1	0	1.5	0	7.7	0	9.9	0	6.8	0	5.7	0	5.5	0	3.7	0	10.4	0	15.8	0
APARATOS TRANSMISORES Y RECEPTORES	2280.7	8.1	38.4	0	4.4	0	292	0	38.4	0	402.2	0	260.8	0	407.6	0	20.7	0	29.1	2.8	2.7	0	450.6	5.3	333.8	0
ARMAS Y MUNICIONES	671.8	0	0	0	0	0	0	0	0	0	220.1	0	212.6	0	48.9	0	0	0	0	0	190.2	0	0	0	0	0
ARTICULOS DE VESTUARIO	1260.3	3756.4	165.1	208.1	13.3	169.2	90.4	339	120.7	160.2	57.2	454.8	71.3	435.2	222.7	292.1	277.5	339.7	1.7	77.1	79	435.8	72.2	485.8	89.2	359.2
