	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	366753.3	113220.1	31995.7	10531	31492.6	11538.1	34111.1	10816.7	34855.8	17660.1	30845.8	11100.6	34089.9	14452.4	40212.2	13035	32096.1	8536.2	19878.1	3770.2	41145.9	3140.6	18906.7	2587.3	17123.5	6051.9
INDUSTRIAS AGROPECUARIAS	15.6	111104.9	0	10452.7	5	11473.3	0	10457	0	17338.2	0	10775.4	0	14384.4	1	12999.3	0	8443.7	8.7	3629.4	0.2	3129.1	0	2462.2	0.7	5560.1
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	14.6	861.5	0	71.6	5	89.8	0	60.5	0	61.8	0	52.8	0	87.2	0	67	0	77.5	8.7	110.2	0.2	108	0	20.7	0.7	54.6
CAFE	0	98121.8	0	7273.1	0	9613.8	0	9934.3	0	15799.4	0	10277.8	0	13177.9	0	12026.8	0	7825.8	0	3188.3	0	2686.7	0	2255.9	0	4062
CARDAMOMO	0	2675.2	0	206.6	0	359.3	0	109	0	736.2	0	119.9	0	137.4	0	97.2	0	0	0	135.7	0	243.7	0	123.8	0	406.6
CAUCHO NATURAL (HULE)	0.1	792.1	0	0	0.1	0	0	249.8	0	0	0	0	0	326.4	0	0	0	0	0	0	0	0	0	0	0	216
FLORES Y FOLLAJES	0	7.8	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.2	0	0
"FRUTAS FRESCAS, SECAS O CONGELADAS"	0	718.5	0	0	0	0	0	0	0	126.3	0	126.2	0	127.3	0	338.7	0	0	0	0	0	0	0	0	0	0
LEGUMBRES Y HORTALIZAS	0	810.1	0	93.3	0	78	0	20.8	0	16.9	0	21.5	0	0	0	228.5	0	139.9	0	96.1	0	39.8	0	53.5	0	21.7
MIEL DE ABEJAS	0	64.2	0	0	0	36	0	0	0	0	0	0	0	28.2	0	0	0	0	0	0	0	0	0	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	1	0.4	0	0	0	0.1	0	0	0	0	0	0	0	0	1	0.1	0	0	0	0	0	0	0	0.3	0	0
SEMILLA DE AJONJOLI	0	7052.4	0	2807.5	0	1296.4	0	82.7	0	597.7	0	177.2	0	500.1	0	241	0	400.5	0	99.1	0	51	0	0	0	799.3
TABACO EN RAMA O SIN ELABORAR	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0
INDUSTRIAS EXTRACTIVAS	78328.2	846.5	4710.3	10.2	7966.4	5.4	4644.8	269.9	6813.3	226	4769.4	87.2	7006.1	0	9479.4	0	8034.4	0	2159.8	0	15373	0.2	7371.2	0	0	247.7
ALUMINIO	60	846.2	8.7	10.2	0	5.4	0.2	269.9	0.2	226	50.5	87.1	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0	0	0	247.7
DIESEL	5445.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5445.9	0	0	0	0	0
HIERRO Y ACERO	72822.2	0	4701.5	0	7966.4	0	4644.5	0	6813.1	0	4719	0	7006	0	9479.3	0	8034.3	0	2159.7	0	9927.1	0	7371.2	0	0	0
OTROS DERIVADOS DE PETROLEO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	0	0.3	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
ZINC	0.1	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INDUSTRIAS MANUFACTURERAS	288409.4	1268.7	27285.3	68.1	23521.1	59.5	29466.3	89.8	28042.5	95.9	26076.4	238	27083.8	68	30731.7	35.7	24061.7	92.6	17709.6	140.9	25772.6	11.3	11535.5	125.2	17122.8	244
APARATOS ELECTROMECANICOS DE USO DOMESTICO	175.1	0	126.9	0	0	0	3.3	0	0	0	0.5	0	1.6	0	0.2	0	0	0	18.2	0	1	0	23.5	0	0	0
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	494.9	0	15.9	0	96.2	0	5	0	0.1	0	2.8	0	0	0	1	0	1.4	0	2.7	0	277.8	0	19.4	0	72.5	0
APARATOS TRANSMISORES Y RECEPTORES	3330.7	8.1	268.2	0.5	1527.1	0	3.8	0	27.1	0	6.2	7.7	3.1	0	19.1	0	97.9	0	934.1	0	428.6	0	1.2	0	14.3	0
ARTICULOS DE VESTUARIO	12.8	324.4	0.4	18.1	0	15.8	0	48.5	2.2	7.6	1.9	35.3	0	20.5	0.7	23.3	0	10.9	2.5	23.4	5.1	1	0	51.6	0	68.3
AZUCAR	0	145.3	0	0	0	0	0	0	0	67.1	0	0	0	0	0	0	0	78.2	0	0	0	0	0	0	0	0
AZUCARES Y ARTICULOS DE CONFITERIA	0	32	0	0	0	5.4	0	0	0	0	0	15.2	0	0	0	5.7	0	0	0	0	0	0	0	0	0	5.8
BATERIAS ELECTRICAS	24.2	0	3.2	0	2.3	0	3.9	0	4	0	2	0	0	0	2.3	0	0	0	0.8	0	0.7	0	0	0	5.1	0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	0	269.9	0	0	0	0	0	0	0	0	0	114.9	0	0	0	0	0	1.5	0	83.5	0	0	0	70	0	0
CAFE SOLUBLE Y MOLIDO	0	5.5	0	0	0	0	0	4.3	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0
CALZADO	0	0.2	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARNE	0	13.2	0	0	0	0	0	0	0	0	0	13.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLAVOS Y TORNILLOS	367.4	0	37.3	0	32.7	0	17.6	0	32.1	0	15	0	25.1	0	20.6	0	36.1	0	63.1	0	31.5	0	27.3	0	29	0
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3	0	0	0	0	0	0	0	0	0
GRASAS Y ACEITES COMESTIBLES	0.2	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	80.4	0	3.4	0	1.2	0	3.3	0	2.4	0	2.4	0	25.1	0	18.3	0	3	0	0.2	0	1.7	0	0.7	0	18.8	0
HILOS E HILAZAS	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0	0
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	577.5	0	0	0	0	0	0	0	12.3	0	234.8	0	0	0	0	0	70.7	0	155.4	0	0	0	0	0	104.3	0
INSTRUMENTAL MEDICO Y OTROS	2601.6	22.2	810.3	0	73.3	0.2	311.4	4.7	58.6	0	118.5	0	111.4	14.9	144.5	0	149.6	0	52.5	0	576.7	0	58	0	136.8	2.4
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	38.1	12.7	16.1	0	0	2	0	0.2	5.9	1.1	0.3	2.6	0	2.4	7.1	4.1	0	0	1	0	2.4	0	3.8	0	1.5	0
LAMINA Y ALAMBRE	1108.9	0	845.2	0	7.4	0	7.4	0	23.8	0	17.6	0	73.7	0	40.4	0	6.1	0	3.3	0	33.6	0	24.3	0	26.1	0
MANUFACTURAS DE CAUCHO	1280.8	0	160.7	0	88.5	0	87.4	0	110.8	0	90.6	0	86.3	0	151.3	0	112.7	0	84.2	0	92.4	0	74.9	0	140.9	0
MANUFACTURAS DE CERAMICA	20.6	6.6	0	0	0	3.5	20	0.4	0	2.4	0	0	0	0	0	0.1	0	0	0	0	0.6	0.3	0	0	0	0
MANUFACTURAS DE CUERO	0	10	0	0.3	0	0	0	4	0	0	0	0	0	0	0	0	0	0.3	0	0.2	0	1.3	0	0	0	4
MANUFACTURAS DE MADERA	0	254.1	0	45.1	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	29.3	0	0	0	0	0	158.7
