	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA)	153441.6	269648.3	11591.3	27776.4	19611.3	13100.1	21522.1	33121.1	23151.6	24787.6	16409.4	22416.6	16878.2	18716.1	16646.6	25610.4	9670.5	18667.9	5432	23670.5	2520	19347.6	4857.6	20877.1	5150.8	21556.9
INDUSTRIAS AGROPECUARIAS	141755.5	620.4	10632.8	0	16060	4	20407.6	133.3	22478.6	0	15032.2	59.7	16409.2	136.2	15109.1	138.7	8449.2	78.5	5353.8	0	2387.1	0.2	4511.1	69.8	4924.6	0
AJO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALGODON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANIMALES VIVOS DE GANADERIA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANIMALES VIVOS DIVERSOS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARROZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AVES DE CORRAL VIVAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BANANO	4696.2	0	355.4	0	524.4	0	678.6	0	472.6	0	401.6	0	336.8	0	328.8	0	366.6	0	292.4	0	329.5	0	294.4	0	315.2	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	1067.4	40.6	76.5	0	55.3	0	92.9	0	146.6	0	110.7	40.2	85	0.3	101.8	0	102.9	0	87.7	0	94.8	0	34.8	0.1	78.5	0
CACAO	11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0.8	0	0	0	0	0	9	0
CAFE	113055.3	0	8353.5	0	13216.5	0	15727.7	0	18254.9	0	12506.7	0	13990.6	0	13012.8	0	7251.9	0	3952.1	0	1551.4	0	2919.1	0	2318.1	0
CARDAMOMO	4222.5	0	545.9	0	505.5	0	820.4	0	587.3	0	124.4	0	294.8	0	6.7	0	0	0	0	0	0	0	290.1	0	1047.5	0
CAUCHO NATURAL (HULE)	0	571.9	0	0	0	0	0	133.2	0	0	0	18.6	0	133.2	0	138.7	0	78.5	0	0	0	0	0	69.7	0	0
CEBOLLA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESPECIAS	0.9	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLORES Y FOLLAJES	2047.1	0	189.4	0	189.4	0	189.4	0	190.4	0	84.6	0	126.8	0	192.1	0	169.1	0	169.3	0	211.4	0	142.7	0	192.6	0
FRIJOL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FRUTAS FRESCAS, SECAS O CONGELADAS"	1902	0	17.4	0	33	0	56.3	0	38.3	0	50.2	0	322.1	0	369.1	0	190.9	0	289.6	0	0	0	168.4	0	366.8	0
HUEVOS DE AVES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LEGUMBRES Y HORTALIZAS	2179.4	0	261.6	0	228.2	0	217.3	0	104.8	0	111.8	0	115.3	0	352.9	0	286	0	74.7	0	154.1	0	110	0	162.7	0
MAIZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANZANA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MATERIAS VEGETALES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIEL DE ABEJAS	137.8	0	0	0	0	0	0	0	0	0	0	0	69	0	66.9	0	0	0	0	0	0	0	0	0	1.8	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	281.6	7.8	0	0	56.6	4	62.4	0	61.3	0	100.9	0.9	0	2.7	0	0	0	0	0.5	0	0	0.2	0	0	0	0
PAPA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIMIENTA	157.6	0	0	0	0	0	0	0	11.8	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	56.8	0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA"	0	0.1	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLATANO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEMILLA DE ALGODON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEMILLA DE AJONJOLI	11996.5	0	833.3	0	1251.2	0	2561.8	0	2610.5	0	1541.5	0	1068.8	0	678	0	80.6	0	486.7	0	46	0	462.6	0	375.6	0
TABACO EN RAMA O SIN ELABORAR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOMATE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIGO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YUCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INDUSTRIAS EXTRACTIVAS	4084.6	75569.1	630.8	9106.9	765.2	1703.6	657.4	13419.8	573.9	11146.7	1144.9	4631.6	294.8	4410.4	0	6105.6	0	2899.8	0	11231.4	0	3301	0	3080.7	17.6	4531.7
ALUMINIO	17.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.6	0
ANTIMONIO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASFALTO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEMENTO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COBRE Y SUS MANUFACTURAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DESPERDICIOS Y DESECHOS DE METALES (CHATARRA)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
