	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	1411574.3	509492.7	132763	37574.4	106958.2	40994.8	111152.9	37966.3	136320.9	47243.5	120671.3	51620.7	113357.4	35697.9	119470	42252.6	112129.8	56576.4	120743.2	43015.2	128175	42384.7	116150.9	38257.8	93681.7	35908.4
INDUSTRIAS AGROPECUARIAS	44703	74560.9	1781.5	6045.3	1965.1	6402	4827.8	6047.8	3912.4	6798.8	2013.8	7102.5	9842.3	6275.5	1312.3	7522.1	4127.4	7283.1	10049	6018.1	1783.8	5683.8	1621.2	4627.2	1466.4	4754.6
ALGODON	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0
ANIMALES VIVOS DE GANADERIA	193.6	2.5	58.4	0	0	1	21.3	0	37	0	0	0	9.9	0	32.7	0	0	0	0	0	6.8	0	0	1.5	27.6	0
ANIMALES VIVOS DIVERSOS	36.6	27.4	2	0	2.9	0	1.1	0	3	0	4	6.9	1.4	0	3.5	6.9	2.2	6.8	3.7	6.9	2.8	0	3.8	0	6.2	0
ARROZ	764	0	0	0	0.1	0	0.1	0	0	0	0.3	0	0.1	0	0	0	159.7	0	133.5	0	338.5	0	1	0	130.8	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	341.1	125	2	0	8.5	0	0	6.3	6.6	0	3.4	0	10.2	117.9	109.3	0	164.5	0	0	0	0	0.7	0	0	36.6	0
CAFE	0	1867.7	0	0	0	0	0	54.6	0	57.8	0	226.9	0	334.5	0	681.2	0	18.5	0	281.3	0	0	0	213	0	0
CARDAMOMO	0	5.2	0	0	0	0	0	5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAUCHO NATURAL (HULE)	12283.1	68412.7	1345.7	5918.3	1584.6	6189.1	1196.2	5415.1	1308.4	5874.2	869.5	6643.1	662.2	5548.2	627.5	6662.8	1052.2	6871.4	898.6	5455.2	800.4	5441.4	1136.1	3906.6	801.8	4487.4
CEBOLLA	1053.1	0	34.3	0	8.5	0	0	0	0	0	20.4	0	133.8	0	156.8	0	114.8	0	92.5	0	164.7	0	147.7	0	179.6	0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)"	173.3	303.1	0.2	0.1	0.9	21.3	0.2	0	64.5	212.8	104.8	30.4	0.2	0	0.6	9	0.1	0	1	0	0.3	29.5	0.5	0	0.1	0
