	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA)	510619.5	1964426.2	38568.9	147874.7	41371.6	135863.3	35408.8	174799.8	38088.3	142280	41803.1	170754.2	41459.5	166298.8	42635.9	148952.3	53535.4	175071.8	45560	165000.2	43627.3	201151.4	45619.9	153987.7	42940.7	182392
INDUSTRIAS AGROPECUARIAS	73737.6	34498	5417.3	2334.2	5660.8	1375.9	6574.6	5167.4	5195.2	3589	6659.8	2239	6850.4	5751.9	7238.7	1610.1	6850.8	1585.4	5775.9	1176.6	5754.2	6188.2	6861.6	1170	4898.3	2310.3
AJO	0	42.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.3	0	0	0	0
ALGODON	0	172	0	41.3	0	0	0	44.6	0	42.5	0	0	0	43.7	0	0	0	0	0	0	0	0	0	0	0	0
ANIMALES VIVOS DE GANADERIA	7.8	343.9	0	0	0	0	0	19	0	28.2	0	77.4	0	30.3	0	0	0	0	0	23	0	0	7.8	16.8	0	149.1
ANIMALES VIVOS DIVERSOS	0	122.8	0	15.9	0	2.5	0	3.6	0	7.3	0	3.5	0	8.6	0	5.3	0	17.9	0	9.8	0	19.8	0	10.2	0	18.3
ARROZ	0	0.1	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BANANO	0	7.6	0	0	0	0	0	0	0	0	0	6.3	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	100.9	448.2	0	2.2	17.7	0.5	17.7	1.5	0	0.2	0	225.9	17.7	0.3	17.7	41.7	0	151.6	17.7	17.1	0	2.2	12.2	0	0	5
CAFE	1288.1	0.1	0	0	156	0	159.5	0.1	73.1	0	72.2	0	275.9	0	156.6	0	87.9	0	35.9	0	51.6	0	116.3	0	103.3	0
CARDAMOMO	16.3	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
CAUCHO NATURAL (HULE)	67680.4	2703.9	5132.2	402.9	5263.7	384.6	6105.9	354.5	4811.3	97.5	6282.5	75.9	6289.8	361.7	6588.9	161.2	6434.8	305.6	4755.2	225.4	5145.5	114.5	6359.2	120	4511.4	100
CEBOLLA	0	1702.4	0	66	0	29.1	0	48.5	0	204.6	0	527.1	0	132.2	0	34.3	0	48.7	0	58.5	0	426.5	0	107.9	0	19.1
ESPECIAS	456.3	133.3	29.3	13.9	6.8	3.9	85	10.9	106.5	0	11.6	24.4	50.1	0	42.1	17.7	14.5	17.9	17	1.9	25.5	19.7	50.1	8.4	17.7	14.7
FLORES Y FOLLAJES	0	57.6	0	39.2	0	1.9	0	2	0	0	0	0	0	0	0	0	0	1	0	1.4	0	0.9	0	3.8	0	7.4
FRIJOL	360.7	0	0	0	0	0	0	0	61.8	0	22.1	0	0	0	0	0	38.5	0	214.4	0	24	0	0	0	0	0
"FRUTAS FRESCAS, SECAS O CONGELADAS"	373.3	5007.8	41.5	320	0	295.3	41.5	228.9	0	43.9	41.5	186.6	0	498.4	82.9	765.4	0	474.8	82.9	258.1	0	478.1	41.5	602.1	41.5	856.3
LEGUMBRES Y HORTALIZAS	2482.4	2113.1	169.4	209.7	194	264.6	113.7	327.3	111.3	182	28.7	161.3	0	96.5	188.9	113.3	240.8	112.6	594	105.9	485.8	158.1	201.9	141.7	153.8	240.3
MAIZ	0	6965.9	0	892.3	0	178.6	0	661	0	2703.6	0	657.2	0	493.5	0	56.2	0	185.8	0	206.7	0	271.5	0	27.3	0	632.2
MATERIAS VEGETALES	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	5.7	709.5	0	102.6	0	57	0	79.8	0	135.2	0	92.1	5.7	68.6	0	24.3	0	53.4	0	20.2	0	67.5	0	2.5	0	6.3
PIMIENTA	375.7	835.3	44.8	29.5	1.1	9.4	21.4	76.1	9.8	34.2	38.4	4.7	22.9	100.9	41.7	109.8	18	41.2	57.6	90.9	21.8	205.9	45.5	3.3	52.8	129.2
