	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA)	368996.8	125035.1	25512	3626.2	27860.9	74528.4	28637.2	5649	43325.8	1468	32607.2	1090.7	42495.7	651.9	31257.1	1255.4	35789.4	1410.7	30259.4	1904.5	24262.7	1612	27032.3	932.5	19957.1	30905.9
INDUSTRIAS AGROPECUARIAS	272.9	14296.9	122.3	2686.6	10.4	2562.5	1.1	3107	16.2	747	5.8	347.6	31.6	294.2	11.3	394.2	9.1	838.9	3.9	1112.2	15.2	1446.6	40	575	6	185
BANANO	0	547.2	0	0	0	0	0	0	0	59.5	0	159.1	0	96.5	0	50.2	0	43.9	0	43.9	0	31.4	0	25.1	0	37.6
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	0.2	73.9	0	1.6	0.1	15.3	0	12	0.1	2	0	10	0	2.8	0	0.6	0	0.2	0	6.9	0	17.9	0	4.6	0	0
CAFE	0	13655	0	2685	0	2539.7	0	3093.6	0	679.6	0	178.5	0	193.5	0	343.4	0	790.5	0	1061.4	0	1397.3	0	545.3	0	147.4
CARDAMOMO	0	2.9	0	0	0	0	0	1.4	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0
CAUCHO NATURAL (HULE)	118.3	0	88.7	0	0	0	0	0	1.1	0	0	0	0	0	0.3	0	0	0	0.7	0	0	0	27.4	0	0	0
"FRUTAS FRESCAS, SECAS O CONGELADAS"	4.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	90.4	17.9	33.6	0	2.3	7.6	1.1	0	0	5.9	1.1	0	31.6	0	2.4	0	0.6	4.4	1.5	0	2.9	0	11.9	0	1.4	0
PIMIENTA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA"	59.5	0	0	0	8.1	0	0	0	14.9	0	4.7	0	0	0	8.6	0	8.5	0	1.7	0	12.3	0	0.7	0	0	0
INDUSTRIAS MANUFACTURERAS	329935.6	105233.1	25354.5	69.6	27800.2	71624	21491.9	1921.8	37564.4	179.6	27125.2	187.4	36828.2	97.2	28022.8	141.3	30831.2	66.4	26750.5	123.8	21445.3	122.2	26822.4	188.9	19899	30511
ABONOS Y FERTILIZANTES	4834.8	0	3239	0	0	0	0	0	0.5	0	0	0	1595.2	0	0	0	0	0	0	0	0	0	0	0	0	0
APARATOS ELECTROMECANICOS DE USO DOMESTICO	3986.2	103.3	225.1	0.1	279.4	83.4	373	16.1	512.7	0.5	532	0.6	438.8	1	187	0.6	481.3	0.5	286.9	0.4	379.9	0	139.1	0	150.9	0
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	77.2	1.1	1.3	0.1	1.5	0	3	0	2.3	0.1	1.4	0.4	38.3	0	0	0.1	1	0	0.4	0.2	2.7	0.2	4.7	0	20.6	0
APARATOS TRANSMISORES Y RECEPTORES	1751.3	0.8	77.9	0	53.8	0	234.5	0	402.8	0	69.3	0.2	235.3	0.3	209	0.2	24.4	0	63.7	0.1	122	0	178.5	0	80.1	0
ARMAS Y MUNICIONES	553.6	0	0	0	0	0	0	0	0	0	0	0	0	0	196.2	0	357.4	0	0	0	0	0	0	0	0	0
ARTICULOS DE VESTUARIO	330.6	441	26.4	5.9	9	25.2	5.7	10.9	5	4.8	29.7	13.2	12	45.9	3.5	107	6.8	54.5	14.3	52.7	92.8	26.8	75.9	64	49.5	30.1
AZUCAR	0	99087.8	0	0	0	68711.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30375.9
AZUCARES Y ARTICULOS DE CONFITERIA	11.3	0	0	0	0	0	0	0	7.5	0	0	0	0	0	0	0	2	0	0.1	0	0	0	1.7	0	0	0
BATERIAS ELECTRICAS	3817.3	4.4	418	0	79.7	0	493.7	0	533	0	393.1	0	355.6	0	343	0	565.1	0	160.4	0	131.1	4.4	128.4	0	216.3	0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	238.8	0.1	0.4	0	3.1	0	2.3	0	3.7	0	17.9	0.1	0	0	35.9	0	96.3	0	37.7	0	7.7	0	33	0	0.8	0
CAFE SOLUBLE Y MOLIDO	3.9	25	0.3	0	0	0	0	0	0.9	0	0	0	0	0	0	0.8	0	0	2.7	0	0	24.2	0	0	0	0
CALZADO	73.3	0.8	0	0.1	6	0	0.4	0	22.9	0.1	0	0.2	37.6	0	5.3	0.3	0	0	0.3	0.1	0.7	0.1	0	0	0.2	0
CARNE	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0
