	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA)	123287.1	321259.1	6386.7	26279.1	10007	24175.1	11793.7	24439	6238.8	26479.1	12573.4	23378.9	15779.6	26812.4	5958.9	22714.5	15175.9	34247	15396.1	40929.7	7057.4	27788.5	13055	19945	3864.7	24070.8
INDUSTRIAS AGROPECUARIAS	32244.2	1897.4	2129.2	115.5	2943.9	146.1	2900.7	203.4	3323.9	268	3809	128.5	3585.8	137	1810.8	135.6	3550.7	138.4	2822.9	167.5	1781.1	184.3	1771	152.3	1815.1	120.7
BANANO	9051.2	0	648.2	0	723	0	875.8	0	773.6	0	664.8	0	732.3	0	832.7	0	740.4	0	925	0	661.9	0	553.5	0	920.1	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	4.8	177.2	0	43	0	0	0	45	0.3	0	1.7	0	0	0	0	0	2.5	0.1	0	0	0	89.2	0.3	0	0	0
CAFE	22485.9	0	1462.7	0	2100.8	0	1980.3	0	2440.8	0	3087.7	0	2710.2	0	915.6	0	2769.5	0	1897.9	0	1082.7	0	1179.8	0	857.9	0
CARDAMOMO	15	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAUCHO NATURAL (HULE)	0	1692	0	69.6	0	142	0	156.8	0	268	0	128.5	0	133.8	0	135.6	0	138.4	0	164.5	0	94.2	0	139.8	0	120.7
ESPECIAS	0	0.1	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FRIJOL	195.7	0	9.7	0	38.8	0	0	0	18.6	0	29	0	0	0	19.2	0	20.3	0	0	0	19.4	0	20.3	0	20.3	0
"FRUTAS FRESCAS, SECAS O CONGELADAS"	257.2	14.6	0	0	75.9	0	15.5	0	58.5	0	0	0	64.1	0	43.2	0	0	0	0	2.2	0	0	0	12.4	0	0
LEGUMBRES Y HORTALIZAS	182.7	0.5	8.6	0	5.4	0	29.2	0	17.1	0	8.4	0	45	0	0	0	18	0	0	0.5	17.1	0	17.1	0	16.9	0
MANZANA	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0
MIEL DE ABEJAS	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	0.4	9.4	0	2.9	0	4	0	1.5	0	0	0.2	0	0	0	0.2	0	0	0	0	0.3	0	0.6	0	0	0	0
PIMIENTA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA"	0	3.2	0	0	0	0	0	0	0	0	0	0	0	3.2	0	0	0	0	0	0	0	0	0	0	0	0
SEMILLA DE AJONJOLI	51.3	0	0	0	0	0	0	0	0	0	17.1	0	34.2	0	0	0	0	0	0	0	0	0	0	0	0	0
INDUSTRIAS MANUFACTURERAS	12085.3	262335.3	445	25265.5	698.9	21539.4	511.3	24095.7	605.2	25783.4	475	22877.9	504.5	26606.4	558.6	17380.6	592.4	24376.6	5650.7	16860.4	390.7	15959.1	666.4	19627	986.5	21963.2
ALIMENTOS PREPARADOS PARA ANIMALES	0	3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	0	0	0	0	0	0
APARATOS ELECTROMECANICOS DE USO DOMESTICO	3.9	3184.3	0.2	144.5	0	98	2.5	300.2	0	320.4	0	414	0.2	630.8	0.7	128.7	0	242	0	163.5	0.1	222.4	0.1	333.5	0	186.2
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	0.5	66.8	0	1.8	0	14.4	0.2	0	0	0.2	0	1	0.1	4.6	0	1.6	0	22.8	0	0.5	0	2.9	0.1	11.7	0	5.4
APARATOS TRANSMISORES Y RECEPTORES	0.1	602.6	0	85.5	0	7.4	0.1	53.1	0	82.8	0	8	0	21.8	0	21.8	0	73.5	0	10.2	0	65.4	0	141	0	32
ARMAS Y MUNICIONES	0	407.1	0	0	0	202.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204.3	0	0
ARTICULOS DE VESTUARIO	344.6	496	1.8	3.9	62.2	20.4	31.3	55.3	35.7	32.2	10.7	7.2	26.4	50.7	10.3	57.9	50.4	112	5.6	4.8	14.5	91.4	49.4	21.3	46.5	38.9
AZUCAR	0	1.2	0	0	0	0.1	0	0	0	0.2	0	0	0	0	0	0	0	0.3	0	0	0	0.5	0	0	0	0
AZUCARES Y ARTICULOS DE CONFITERIA	0	18.6	0	2	0	1.1	0	1.2	0	3.5	0	0.7	0	2.8	0	0.7	0	1.6	0	1.3	0	1.3	0	1.3	0	1
BATERIAS ELECTRICAS	5217.9	4571.9	365.6	330.1	371.3	316.8	352	358.3	452	779	385.2	380.4	370.5	717.7	413.7	272.3	450.7	153.8	506.1	364.4	305.9	249.3	560.6	503.2	684.2	146.5
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	5037.8	5015.1	0	319.5	0	354.4	0	429.7	0	299.2	0	493.3	0	301.7	0	592.4	0	760.2	5037.8	443.1	0	236	0	305.8	0	479.8
CAFE SOLUBLE Y MOLIDO	32.6	127.2	0	3.1	0	0	0	0	0	1.4	0	0.9	0	1.6	32.6	15.2	0	0.3	0	0.4	0	31.8	0	33	0	39.4
CALZADO	0.4	70.5	0	0.6	0	0	0.1	3.3	0	18.7	0	1.3	0.1	1.5	0.2	2.5	0	17.2	0	0.2	0	1.2	0.1	5.4	0	18.8
CARNE	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0
CERAS	0	47.3	0	0	0	0	0	2.8	0	0	0	0	0	7.4	0	0	0	0.6	0	0.1	0	29.9	0	6.5	0	0.1
CLAVOS Y TORNILLOS	1.9	160	0	13.6	1.9	3.3	0	11.6	0	14.2	0	3	0	25.6	0	2.3	0	30.6	0	6.4	0	10.4	0	11.9	0	27.2
DETERGENTES Y JABONES	0	617.5	0	49.8	0	38.1	0	13.6	0	116.6	0	80.3	0	64.2	0	28.8	0	21.7	0	26.8	0	58.5	0	13.4	0	105.7
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	0	46.1	0	5.3	0	1.7	0	1.3	0	2.6	0	5.8	0	12.9	0	2.2	0	0.6	0	2.4	0	6.8	0	3.9	0	0.6
GRASAS Y ACEITES COMESTIBLES	0	30.4	0	0.6	0	0.6	0	0.7	0	0.4	0	0.7	0	8.5	0	0	0	13.7	0	2.8	0	0.3	0	2.1	0	0
HARINAS DE CEREALES	0	1.7	0	0.8	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	0.1	349.5	0	36.3	0	45.7	0	29.5	0	12	0	22	0	8	0	23.8	0	22.1	0	89.1	0	19.1	0	25.6	0	16.1
HILOS E HILAZAS	0.3	15400.2	0	701.8	0	981.4	0	1233.2	0	1470.3	0	1582.3	0	795.2	0	2555.3	0	1553.9	0	1129.5	0.2	1181.2	0	1264.1	0	952.1
