	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	126854	19627.5	13057.6	183.2	6048.8	209.2	7325.9	8754.1	6189.4	779	6728.5	581.3	9421.3	1537.1	7531.2	1062.2	33688	532.2	8864.6	844.3	8988	1770.3	8826.4	2991.4	10184.3	383.2
INDUSTRIAS AGROPECUARIAS	167.8	3625.9	0	183.2	99.5	124.4	14.1	326.2	0	230.3	25.6	351.4	0.5	367.3	0	218.2	8.7	272.4	10.3	197.4	2.2	331.6	0	806.8	6.9	216.8
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	120	5.9	0	1.9	76.5	0	12.7	0	0	0	11.1	0	0.5	1.5	0	0	7.5	1.3	7.7	0	0	0	0	1.1	4	0
CAFE	0	3047.7	0	153.8	0	124.4	0	326.2	0	230.3	0	351.4	0	365.7	0	218.2	0	271.1	0	197.4	0	331.6	0	260.8	0	216.8
CARDAMOMO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESPECIAS	0.3	0	0	0	0	0	0.1	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0
"FRUTAS FRESCAS, SECAS O CONGELADAS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LEGUMBRES Y HORTALIZAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	40.3	0	0	0	23	0	0	0	0	0	11.9	0	0	0	0	0	0	0	2.6	0	0	0	0	0	2.9	0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA"	7.2	0	0	0	0	0	1.3	0	0	0	2.6	0	0	0	0	0	1.2	0	0	0	2.1	0	0	0	0	0
SEMILLA DE AJONJOLI	0	27.5	0	27.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TABACO EN RAMA O SIN ELABORAR	0	544.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	544.9	0	0
INDUSTRIAS MANUFACTURERAS	99896.8	14988.3	10856.5	0	5946.9	42	7170.8	8427.9	6186.5	548.7	6696.7	205.8	9403.3	1014.1	7323.1	672.4	9988.5	232.3	8846	598.5	8906.1	1330.7	8727.9	1862.1	9844.3	53.6
ALIMENTOS PREPARADOS PARA ANIMALES	34.9	0	8.3	0	0	0	0	0	0	0	3.4	0	0	0	10.1	0	0	0	0	0	3.5	0	6.5	0	3.1	0
APARATOS ELECTROMECANICOS DE USO DOMESTICO	1818.4	0.6	64.3	0	35.9	0	158.4	0	207.4	0	172.2	0	238.1	0	48.7	0.5	161.3	0	221.2	0	246.4	0	160.8	0	103.6	0.1
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	1039.4	33.7	77.9	0	57.1	0	33.6	0	75.6	0	87.5	0	150.2	0	60.2	0.2	97.8	0	77.6	0	39.2	33.5	138.1	0	144.5	0.1
APARATOS TRANSMISORES Y RECEPTORES	994.4	6.3	90	0	169.9	0	18.4	0	50.3	0	42.6	6.3	32.6	0	56.9	0	163.7	0	54.4	0	64.7	0	99.6	0	151.3	0
ARMAS Y MUNICIONES	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0
ARTICULOS DE VESTUARIO	219	1.2	7.6	0	8.7	0	80.7	0	0.1	0	14.9	0	7.9	0	17.1	1.2	9	0	8.3	0	40	0	12.4	0	12.4	0
