	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA)	73985.7	119787.9	4126.2	11201.7	4854.2	8542.7	5141.6	9372.4	4468.5	6683	16823.2	9762.8	3612.5	10367.2	3111.6	8420.1	3682.9	11075.8	3300.2	10096.7	4134.5	9268.9	2869.3	10624.7	17860.9	14372.1
INDUSTRIAS AGROPECUARIAS	10134.9	173.3	380.6	15.2	1541.5	20.8	1063.3	0	828.3	21.2	1033.3	20.6	868.9	12.1	602.7	9.8	530.7	12.1	946.3	0	1594.6	26.3	273.5	11.9	471.4	23.4
ALGODON	197.1	0	0	0	0	0	0	0	197.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	34	135.8	6	15.2	2	20.8	1.6	0	3.2	18.1	3.6	12.1	3.8	12.1	0	0	1.5	12.1	2.1	0	6.2	18.2	3.5	9	0.6	18.2
CAFE	8088.4	0	374.6	0	1539.6	0	1061.7	0	609.5	0	1029.6	0	716	0	560	0	522	0	869.4	0	71.3	0	269.3	0	465.3	0
CARDAMOMO	5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3	0
CAUCHO NATURAL (HULE)	61.2	0	0	0	0	0	0	0	18.5	0	0	0	0	0	42.7	0	0	0	0	0	0	0	0	0	0.1	0
"FRUTAS FRESCAS, SECAS O CONGELADAS"	300.2	0	0	0	0	0	0	0	0	0	0	0	149.2	0	0	0	0	0	74.8	0	76.2	0	0	0	0	0
LEGUMBRES Y HORTALIZAS	41.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.2	0	0	0	0	0
MIEL DE ABEJAS	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	7.2	34.6	0	0	0	0	0	0	0	3	0	8.4	0	0	0	9.8	7.2	0	0	0	0	8.1	0	0	0	5.3
PIMIENTA	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9	0	0
TABACO EN RAMA O SIN ELABORAR	1399.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1399.7	0	0	0	0	0
INDUSTRIAS MANUFACTURERAS	62860.8	118438.2	3720.3	11151.4	3283.2	8457.9	4013.9	9166.9	3536.6	6587.4	15732.1	9613.2	2693.3	10288.2	2407.8	8202.3	3063.2	10960.8	2252.2	9954.7	2445	9216.9	2548.2	10580.9	17165.1	14257.6
ABONOS Y FERTILIZANTES	0	36	0	0	0	22.6	0	0	0	0	0	0	0	0	0	0	0	0	0	13.4	0	0	0	0	0	0
ALIMENTOS PREPARADOS PARA ANIMALES	0	101.5	0	0	0	2.1	0	0	0	9.3	0	0	0	0	0	45	0	28.1	0	0	0	0	0	0	0	17
