	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	4209288.1	2941578.2	309991.6	232705.9	335205	218246.4	340310.6	260778.5	325461.2	259073.6	312737.8	258591.1	339103	237312.3	397387	251072	312667.8	232753	322263.8	220083.3	398980.1	249027.1	370315.8	221103.5	444864.5	300831.4
INDUSTRIAS AGROPECUARIAS	395519.7	1053112.8	30649.1	96583.6	23994.1	85825.1	42264.2	119914.1	37668.3	116038.1	28445.7	100103.6	29866.7	97821.2	49310.3	88740.2	16490.6	68192.2	39855.6	58442.5	24221.9	57931.8	28210.5	66554.2	44542.7	96966.4
ALGODON	33508.1	0	4200.6	0	2175.7	0	3385.5	0	2866.9	0	2449.3	0	2044.7	0	2114.4	0	3062.2	0	2624.2	0	2099.6	0	2405.7	0	4079.2	0
ANIMALES VIVOS DE GANADERIA	338.4	0	0	0	0	0	1.9	0	264.1	0	0	0	0	0	0	0	9.7	0	54.9	0	6.9	0	0.9	0	0	0
ANIMALES VIVOS DIVERSOS	195.8	33.2	18.7	3.3	17.8	1.5	19.2	4.6	6.2	0	16.2	7.5	18.2	4.5	10.3	3.1	22	2.3	11.8	0	21.8	4.3	12.7	0.3	21	2
ARROZ	33579.6	61.4	871.9	17.9	5357.8	0	514.6	5.3	960	0	3054	24.1	2935.4	1.7	5387.6	1.5	1240.4	2.1	3185.2	1.8	875.8	3.5	2200.2	2	6996.8	1.4
AVES DE CORRAL VIVAS	4104.5	0	351.9	0	310.5	0	163.9	0	459.1	0	410	0	337.4	0	299.4	0	411.9	0	403	0	327	0	280.9	0	349.5	0
BANANO	31.5	373331.9	2.1	39354.6	0	26832.2	4.6	33164.2	0	34596.7	2.1	35209.4	4.3	32058.8	0	29703.3	1.4	31161.4	2.3	28776	0	29297.5	10	22601.1	4.6	30576.7
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	8896.4	25884.1	690.5	2814.5	572.2	2623.2	759.4	1577.2	158.4	1450.7	399.7	736.9	523	3574.8	751.7	3405.7	1286.6	2212.7	962.8	1716.4	1149.7	1943.8	415.7	1451.2	1226.7	2377
CACAO	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0.1
CAFE	0.2	283713.1	0	14234.3	0	25376.3	0	36788.4	0	37047.5	0	42115.8	0	42917.1	0.1	29519.4	0	15499.2	0	10541.1	0	9612.7	0	4898.8	0	15162.7
CARDAMOMO	0	4275.5	0	367.7	0	419.6	0	561.8	0	582.6	0	188.7	0	150.3	0	322.6	0	122.5	0	13.3	0	233.6	0	520.2	0	792.7
CAUCHO NATURAL (HULE)	1034.6	19853	42.5	1229.2	98.6	1518.4	182.9	958.6	96.8	1544.7	150.3	1549.9	119.6	1635	93.4	1087	9.9	1460.2	31.4	1586.3	104	2158.4	76.9	2261.6	28.3	2863.7
CEBOLLA	143	1299.3	5.5	132.2	0	99.2	0	85.8	0	107.4	0	85.9	0	83.7	0	153.8	5.7	100	13.6	120.1	98.9	100.4	19.3	89	0	141.7
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)"	422.4	155.5	13.9	0.5	51.5	3.2	3.9	1.9	46.3	0	63.8	137.7	10.2	0.9	74.3	3.5	34.1	1.2	62.9	0.2	26	2.4	18	3	17.5	0.9
