	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA)	3725036.7	7317119.1	289720.3	561737.4	323230.7	565224.4	362285.8	688715.2	323423.6	571094.8	338429.7	563195.2	279215.8	602939.2	336028	594534.1	319171.6	615084.8	297200.1	532299.4	266981.2	660160.4	290479.1	616753.4	298870.8	745380.8
INDUSTRIAS AGROPECUARIAS	1642628	471761.8	125042.6	30489.8	144245.4	44891.9	177643.5	41805.4	157245.5	35084.6	135781.8	46551.5	124203	43135.6	145750.3	43134.1	134761.8	53871.2	118164.6	28617	103646.3	24120.3	129158.7	33278.9	146984.5	46781.7
AJO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALGODON	0	43003.6	0	2481.6	0	5609.2	0	5706.6	0	4255.4	0	4610.9	0	5444.1	0	3624.4	0	3178.3	0	1144.6	0	837.9	0	3086.3	0	3024.4
ANIMALES VIVOS DE GANADERIA	141.9	829.3	5	3	1	375.2	0	103.7	0	30.3	0	23.4	0	173.5	3	4.3	0	98.7	0	10.1	0	0	3	0	129.9	6.9
ANIMALES VIVOS DIVERSOS	6.6	317.8	0	22.4	0.8	34.1	1.5	22.7	0	29	0	29.2	0	38	0	20	0.1	22.5	0.2	23.6	1.6	23.3	1.9	36.7	0.5	16.3
ARROZ	90	36469.3	10	2434.6	6.2	5219.7	8.2	3332.6	6.4	2435.2	7.3	2330.2	13.7	1737.1	3.7	5465.1	7.6	2113	4.5	2043.5	11.3	1435.4	8.9	3671.5	2.3	4251.5
AVES DE CORRAL VIVAS	0	8640.6	0	852.3	0	318.3	0	720.1	0	885.3	0	697	0	956.6	0	723	0	352.4	0	699	0	855.6	0	672	0	909.1
BANANO	711617.9	96.2	56737.9	11.9	56901.1	0	65375.4	3	55341	0	60305.3	0	52984.6	1.5	61886.5	0	69888.2	34.9	63023.6	34.6	62336.5	7.1	55510.1	3.1	51327.7	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	28771.9	15657	4490	1564.4	3624.8	338	2696.2	1226.1	2217.4	534.7	1571.7	1434	1444.3	1624.8	1878.7	1843.3	2215.5	1971.9	2567.7	2789.1	1699.3	703.5	1896.5	777.9	2469.9	849.3
CACAO	674.4	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0.2	0	545	0	0	0	1.1	0	0	0
CAFE	283165.3	0.4	14609.9	0	26192.5	0	35900.8	0	40046.6	0	35284.5	0	36113	0.3	39307.5	0	24181.4	0	14249.7	0	3149.7	0	4376.7	0	9753	0
